id,title,type,timeline_kind,timeline_label,date,start,end,probability,impact_score,expected_impact,event_PS,event_AS,n_vars,affected_ids,rationale
enterprise_ai_agents_ramp,Rapid enterprise roll‑out of autonomous AI agents,process,horizon,6 months,,2026-08-07,2027-02-07,0.85,243.0,206.55,25.0,27.0,4,"ai_deployment_rate, ai_talent_pool, cyber_incident_rate, model_capability_level",Headlines: 'VideoAmp Cuts Staff as AI Agents Take Center Stage' and multiple stories on AI agents going rogue.
astra_model_release_risk,OpenAI 'Astra' model release/testing,event,horizon,by end of Oct,,2026-08-07,2026-10-31,0.7,227.0,158.9,22.333,25.222,4,"cyber_incident_rate, model_capability_level, regulatory_pressure, public_trust_in_ai",OpenAI flags critical cyber capability risk in upcoming 'Astra' model (headline: OpenAI flags critical cyber capability risk in upcoming ’Astra’ model).
huggingface_hack_followon_spate,Wave of AI supply‑chain/model hacks,process,horizon,3 months,,2026-08-08,2026-11-08,0.8,225.0,180.0,23.0,25.0,4,"cyber_incident_rate, regulatory_pressure, public_trust_in_ai, ai_deployment_rate",Headline: 'Hugging Face hack marks start of dangerous AI cyber era' and multiple reports of model hacks.
bigtech_ai_investment_spree,Continued Big Tech AI investment surge,process,horizon,6 months,,2026-08-06,2027-02-06,0.9,218.0,196.2,25.667,24.222,4,"ai_investment_flow, ai_market_valuation, ai_talent_pool, compute_capacity",Headlines: 'Big Tech AI spending spree tops $1tn' and 'Amazon completes $50bn investment in OpenAI.'
sk_hynix_38b_expansion,SK Hynix $38bn memory plant expansion,process,horizon,2026–28 buildout,,2026-08-07,2028-12-31,0.9,157.0,141.3,21.625,19.625,4,"hardware_capacity, compute_capacity, supply_chain_resilience, ai_market_valuation",Headlines: 'SK Hynix to invest $38 billion building new memory chip plants.'
trump_polysilicon_trade_measures,U.S. tariffs and trade actions on polysilicon & solar,event,horizon,in coming months,,2026-08-08,2026-10-31,0.85,152.0,129.2,18.0,19.0,4,"export_control_intensity, supply_chain_resilience, hardware_capacity, ai_market_valuation",Headlines: 'Trump to Impose 15% Tariff' and 'Trump unveils trade actions to compete with China on solar and chips.'
spacex_tesla_terafab_plant,SpaceX/Tesla Terafab chip plant buildout (Texas),process,horizon,multi‑year build,,2026-08-07,2029-12-31,0.85,146.0,124.1,20.0,18.25,4,"hardware_capacity, compute_capacity, supply_chain_resilience, data_center_energy_rate","Headline: 'SpaceX, Tesla to Build Chip Plant in Texas to Meet Compute Demand.'"
mineral_export_restrictions,Critical mineral export bans and controls,process,horizon,months,,2026-08-06,2026-12-31,0.75,144.0,108.0,17.625,18.0,4,"supply_chain_resilience, hardware_capacity, export_control_intensity, compute_capacity",Headlines: 'Congo bans copper and cobalt concentrates exports' and US export/blocking actions and minerals funding.
dimon_ai_risk_effort,Cross‑industry AI risk initiative (Dimon),event,horizon,coming months,,2026-08-06,2026-10-31,0.8,89.0,71.2,20.75,22.25,3,"regulatory_pressure, litigation_rate, public_trust_in_ai",Headline: 'JPMorgan CEO Dimon leads new cross-industry effort to tackle AI risks.'
ai_litigation_and_trade_secrets,Ongoing AI litigation & trade‑secret suits,process,horizon,months,,2026-08-06,2026-12-31,0.7,84.0,58.8,17.6,16.8,3,"litigation_rate, leadership_turnover_rate, public_trust_in_ai",Headlines: 'OpenAI says Apple’s trade secrets lawsuit' and 'OpenAI to Pay $3.2 Million to Settle Claims.'
