id,title,type,timeline_kind,timeline_label,date,start,end,probability,impact_score,expected_impact,event_PS,event_AS,n_vars,affected_ids,rationale
mass_production_deep_strike,Startups mass-produce deep‑strike cruise missiles,process,horizon,in 2027,,2027-01-01,2027-12-31,0.85,316.0,268.6,25.083,26.333,5,"missile_prod_capacity, strike_proliferation_rat, tech_diffusion_rate, arms_transfer_flow, defense_investment_flow","Headlines: Covenant and Thiel-/Andreessen-backed startups opening missile factories, mass-producible cruise missiles next year."
russia_iran_supersonic_dev,Russian assistance to Iran on supersonic cruise missiles,process,horizon,coming months,,2026-09-11,2027-06-30,0.8,265.0,212.0,24.6,26.5,4,"tech_diffusion_rate, strike_proliferation_rat, missile_prod_capacity, proliferation_feedback",Headlines: FT and others report Russia secretly helping Iran develop supersonic cruise missiles.
iran_missile_prod_resumption,Iran resumes limited ballistic missile production,process,horizon,next 6 months,,2026-09-11,2027-03-31,0.9,262.0,235.8,24.3,26.2,4,"missile_prod_capacity, strike_proliferation_rat, tech_diffusion_rate, proliferation_feedback","Headlines: WSJ/exclusive reporting Iran is producing ballistic missiles again, new missiles from existing components."
us_mediated_talks_resume,Resumption of US‑mediated Russia–Ukraine talks,process,horizon,next 6 months,,2026-09-11,2027-03-31,0.7,183.0,128.1,26.667,30.5,3,"diplomatic_momentum, kinetic_escalation, arms_control_integrity",Headlines: US envoys met Zelenskyy; Russia says it hopes US‑mediated talks will resume soon.
germany_patriot_shipments,Germany sends additional Patriot batteries,process,horizon,by winter,,2026-09-11,2026-12-31,0.8,181.0,144.8,25.75,22.625,4,"defensive_capacity, arms_transfer_flow, defense_investment_flow, financing_pressure","Headline: Germany to send more Patriot missiles to Ukraine, warns of stepped-up Russian winter attacks."
renewed_strike_spurts,Renewed missile and drone strike spurts,process,horizon,next 6-8 weeks,,2026-09-11,2026-10-31,0.85,174.0,147.9,25.571,24.857,3,"kinetic_escalation, leader_exposure_risk, territorial_control","Headlines: Russia resumed strikes on Kyiv after pause; drone attacks near Zelenskiy, Novorossiysk incidents."
eu_tap_russian_assets,EU moves to tap frozen Russian assets for Ukraine,process,horizon,next 6 months,,2026-09-11,2027-03-31,0.65,121.0,78.65,21.833,20.167,3,"legal_actions_flow, financing_pressure, defense_investment_flow",Headline: EU looks for new path to tap Russian assets for Ukraine; Hungary court loss over frozen assets noted.
fusion_nuclear_modernization,Fusion breakthroughs accelerate weapons modernization,process,horizon,through 2028,,2026-09-11,2028-12-31,0.4,101.0,40.4,23.25,25.25,3,"defense_investment_flow, tech_diffusion_rate, missile_prod_capacity",Headline: America leans on fusion breakthroughs to turbocharge its nuclear weapon arsenal.
us_spychief_diplomacy_role,US spy chief takes bigger diplomacy role,event,horizon,weeks,,2026-09-11,2026-10-31,0.6,78.0,46.8,23.667,26.0,2,"diplomatic_momentum, tech_diffusion_rate",Headlines: FT and others report US spy chief preparing for greater role in Russia‑Ukraine talks.
g20_houston_russian_attend,Russian official attends G20 energy meeting in Houston,event,horizon,next week,,2026-09-14,2026-09-20,0.9,55.0,49.5,23.0,27.5,2,"diplomatic_momentum, arms_control_integrity","Headline: Russian official to attend G20 energy meeting in Houston next week, per White House official."
