id,title,type,timeline_kind,timeline_label,date,start,end,probability,impact_score,expected_impact,event_PS,event_AS,n_vars,affected_ids,rationale
google_finland_15b_invest,Google $15bn Finland AI infrastructure build,process,horizon,within 12 months,,2026-09-10,2027-09-10,0.9,239.0,215.1,23.273,21.727,5,"capital_flow_ai_infra, global_compute_capacity, energy_supply_reliabilit, renewable_power_share, market_demand_ai_service","Headlines: ""Google to invest record $15 billion in AI infrastructure..."" and ""Google to invest $15 billion... buy nuclear power in Finland."""
rising_ai_security_incidents,"Surge in AI hacking, rogue agents and model incidents",process,horizon,3-7 months,,2026-09-10,2027-03-31,0.9,189.0,170.1,21.0,21.0,4,"ai_safety_incident_rate, cybersecurity_risk_level, compliance_costs_ai, market_demand_ai_service","Headlines: ""Anthropic discloses fourth AI hacking incident..."", ""OpenAI’s rogue agents used at least 10 more sites"", ""OpenAI hack of Hugging Face."""
pentagon_5bn_infra_talks,Pentagon $5bn AI infrastructure funding talks,process,horizon,3-10 months,,2026-09-10,2027-06-30,0.55,183.0,100.65,27.143,26.143,3,"capital_flow_ai_infra, global_compute_capacity, geopolitical_tension_lev","Headline: ""Exclusive | Pentagon in Talks to Get Into AI Infrastructure Funding With a $5 Billion Loan."""
asml_tools_deployment,ASML latest tools adopted by TSMC & Samsung,process,horizon,6-22 months,,2026-09-10,2028-06-30,0.95,175.0,166.25,26.25,21.875,4,"semiconductor_fab_capaci, supply_chain_conc, global_compute_capacity, chip_rd_intensity","Headlines: ""ASML to work with major chipmakers..."" and ""TSMC, Samsung commit to ASML’s newest chipmaking tools..."""
us_regulatory_push_after_anthropic,U.S. lawmakers push new AI rules post-Anthropic warnings,process,horizon,3-10 months,,2026-09-10,2027-06-30,0.7,166.0,116.2,20.714,23.714,4,"compliance_costs_ai, export_control_intensity, ai_safety_incident_rate, market_demand_ai_service","Headline: ""US lawmakers call for new AI rules after Anthropic researchers' safety warnings."""
huawei_us_criminal_trial,Huawei U.S. criminal trial opening,event,horizon,weeks–months,,2026-09-10,2026-11-30,0.85,128.0,108.8,20.6,25.6,3,"geopolitical_tension_lev, export_control_intensity, cross_border_transfer","Headlines: ""Huawei heads to trial in US..."" and ""Huawei Faces U.S. Criminal Trial Weeks Before Trump-Xi Meeting."""
belgium_chip_espionage_arrest,Belgian arrest over suspected semiconductor espionage,event,horizon,months,,2026-09-08,2027-03-31,0.65,127.0,82.55,21.2,25.4,3,"export_control_intensity, cross_border_transfer, geopolitical_tension_lev","Headlines: ""Belgium detains Chinese man on suspicion of semiconductor espionage"" and ""Belgium’s Arrest... Fuels European Fear of Beijing."""
mistral_3bn_europe_fundraise,Mistral €3bn raise boosts European AI funding,process,horizon,3-10 months,,2026-09-08,2027-06-30,0.8,122.0,97.6,25.0,24.4,3,"capital_flow_ai_infra, ai_talent_availability, chip_rd_intensity","Headline: ""Mistral raises record €3bn as Europe strains to keep pace in AI race."""
states_rip_up_data_center_breaks,U.S. states rescind data center tax breaks,process,horizon,3-10 months,,2026-09-09,2027-06-30,0.8,103.0,82.4,27.5,25.75,3,"capital_flow_ai_infra, global_compute_capacity, compliance_costs_ai","Headline: ""States That Gave Data Centers Billions in Tax Breaks Are Now Ripping Up the Deals."""
doj_probe_nvidia_groq,DOJ probe into Nvidia-Groq licensing deal,event,horizon,months,,2026-09-10,2027-03-31,0.6,94.0,56.4,21.25,23.5,3,"export_control_intensity, cross_border_transfer, supply_chain_conc","Headline: ""DOJ probes Nvidia's licensing deal with AI startup Groq, NYT reports."""
