id,title,type,timeline_kind,timeline_label,date,start,end,probability,impact_score,expected_impact,event_PS,event_AS,n_vars,affected_ids,rationale
criminals_seek_drone_expertise,Criminal groups acquire drone expertise in Ukraine,process,horizon,3-6 months,,2026-08-11,2027-02-11,0.7,258.0,180.6,23.444,28.667,4,"drone_tech_diffusion_rat, nonstate_op_capacity, drone_attack_rate, cross_border_incidents","Headline: ""Colombian narcos head to Ukraine for drone expertise"" — direct transfer of skills to criminal actors."
startup_scaleup_drone_prod,Scale-up by Ukrainian drone startups,process,horizon,1-2 months,,2026-08-11,2026-10-11,0.8,235.0,188.0,23.0,29.375,4,"unmanned_prod_rate, drone_tech_diffusion_rat, drone_attack_rate, nonstate_op_capacity","Headline: ""Inside the startup drone maker powering Ukraine's deep-strike campaign"" — points to rapid producer scale-up."
interceptor_supply_crunch,Interceptor shortage crisis in Ukraine,process,horizon,weeks–months,,2026-08-11,2026-09-30,0.9,221.0,198.9,28.0,24.556,4,"interceptor_supply_res, air_defense_capacity, drone_attack_rate, escalation_pressure","Headline: ""Russian bombardment kills 17 in Kyiv as Ukraine runs low on interceptors"" and ""Ukraine needs more help in the battle of the sky""."
russian_comms_satnet_rollout,Russia rolling out Starlink‑style satellite/mesh networks,process,horizon,1-3 months,,2026-08-11,2026-11-11,0.75,168.0,126.0,22.0,24.0,4,"intel_cyber_integration, cyberattack_frequency, drone_attack_rate, cross_border_incidents","Headline: ""Russia rolling out Starlink-style network faster than expected, Kyiv says"" — enables resilient C2 and cyber integration."
attacks_on_energy_industries,Renewed strikes on refineries and petrochemical sites,process,horizon,1-2 months,,2026-08-09,2026-09-30,0.85,142.0,120.7,29.0,20.286,4,"infra_vulnerability, trade_flow_disruption, public_threat_perception, drone_attack_rate","Headlines: ""Russia says it hit fuel storage facilities in Ukrainian ports"", ""Fire at Russia's Ilsky oil refinery put out after Ukrainian drone attack"", ""Sibur plant shut after drone attack"", ""Libya's NOC warns of force majeure""."
sanctions_evasion_persistence,Ongoing sanctions‑evasion networks and countermeasures,process,horizon,3 months,,2026-08-11,2026-11-11,0.85,139.0,118.15,20.4,27.8,3,"sanctions_evasion_activi, component_availability, unmanned_prod_rate","Headlines: ""Austria breaks up sanctions-evasion scheme supplying Russian arms industry"" and ""Russia’s Hottest Startup Is a State-Backed Sanctions Evasion Network""."
nk_equipment_deployment_risk,Potential North Korean equipment/troop deployment to Russia,process,horizon,1-4 months,,2026-08-11,2026-12-11,0.4,139.0,55.6,26.0,27.8,3,"escalation_pressure, drone_tech_diffusion_rat, nonstate_op_capacity","Headline: ""Ukraine's Zelenskiy says up to 50,000 North Korean troops to be deployed in Russia"" and ""Zelenskyy warns Putin is preparing for escalation""."
grain_export_rerouting,Grain export cuts and rerouting via Moldova,process,horizon,weeks–months,,2026-08-10,2026-10-10,0.9,124.0,111.6,28.167,20.667,3,"trade_flow_disruption, infra_vulnerability, cross_border_incidents","Headlines: ""EXCLUSIVE: Ukraine cuts grain export forecast"" and ""Ukraine, Moldova consider shipping grain by rail through Moldova""."
airport_drone_security_rampup,Immediate airport and aviation security upgrades,process,horizon,2-8 weeks,,2026-08-11,2026-09-30,0.8,118.0,94.4,26.333,19.667,4,"public_threat_perception, security_coop_level, air_defense_capacity, infra_vulnerability","Headlines: ""Explosive drone at German airport raises ‘hybrid threat’ alarm"" and ""Australia probes near-miss collision""."
european_intel_crackdown,Expanded intelligence cooperation and counter‑espionage actions in Europe,process,horizon,1-2 months,,2026-08-10,2026-10-10,0.8,107.0,85.6,20.5,26.75,3,"security_coop_level, component_availability, sanctions_evasion_activi","Headlines: ""Swedish security service says it broke up Russian spy plot"", ""Germany detains Ukrainian suspected of spying"", ""U.S. Intel Links Russia to Explosive Drone at German Airport""."
