node,parent_core,label,local_AS,local_PS,local_role,AS_ext,PS_ext,global_AS,global_PS,bridge_score,n_bridged_cores,global_role
russia_ukraine_war::military_escalation_rate,russia_ukraine_war,Military escalation rate,22.0,21.0,critical (risk),13.05,1.3,18.42,13.12,23.095434043429343,4,critical (risk)
tech_ai_geopolitical_riv::ai_capital_flow,tech_ai_geopolitical_riv,Capital investment flow into AI,25.0,27.0,critical (risk),5.3999999999999995,8.85,17.16,19.74,22.934490252185928,4,critical (risk)
global_financial_shift::cross_border_flows,global_financial_shift,Cross-border capital flows,23.0,24.0,critical (risk),6.9,7.1,16.56,17.24,22.532130774077405,4,critical (risk)
global_energy_shocks::chokepoint_risk,global_energy_shocks,Shipping chokepoint disruption risk,23.0,1.0,active (lever),7.55,4.95,16.82,2.58,20.117973905426254,4,active (lever)
global_energy_shocks::wholesale_gas_price,global_energy_shocks,Wholesale gas price level,21.0,23.0,critical (risk),7.0,5.0,15.4,15.799999999999999,19.313254949209202,4,critical (risk)
russia_ukraine_war::military_capability_bala,russia_ukraine_war,Military capability balance,15.0,20.0,critical (risk),4.5,7.05,10.8,14.82,18.58900788861386,4,critical (risk)
us_iran_gulf_conflict::sanctions_intensity,us_iran_gulf_conflict,Sanctions intensity,23.0,10.0,active (lever),6.200000000000001,4.9,16.28,7.96,17.864760828018515,4,active (lever)
us_iran_gulf_conflict::oil_flow_rate,us_iran_gulf_conflict,Oil flow rate,14.0,21.0,reactive (sensor),5.16,4.6499999999999995,10.464,14.459999999999999,15.788585920978521,4,critical (risk)
tech_ai_geopolitical_riv::compute_capacity,tech_ai_geopolitical_riv,Compute capacity,27.0,31.0,critical (risk),2.4,7.400000000000001,17.16,21.56,15.772491541854183,4,critical (risk)
global_energy_shocks::commercial_fuel_stocks,global_energy_shocks,Commercial fuel stocks level,17.0,25.0,critical (risk),3.7,6.35,11.68,17.54,13.932258329254902,3,critical (risk)
global_financial_shift::market_policy_expectatio,global_financial_shift,Market expectations of policy,25.0,28.0,critical (risk),2.8,5.56,16.12,19.024,13.454900947949078,4,critical (risk)
global_financial_shift::bond_market_volatility,global_financial_shift,Bond market volatility,27.0,35.0,critical (risk),2.6,5.1499999999999995,17.24,23.06,12.473143821364276,4,critical (risk)
global_financial_shift::risk_premia_level,global_financial_shift,Risk premia level,28.0,29.0,critical (risk),3.75,4.1,18.3,19.04,10.88241073479114,3,critical (risk)
russia_ukraine_war::threat_perception_levels,russia_ukraine_war,Public and elite threat perception,21.0,21.0,critical (risk),5.3,1.2,14.719999999999999,13.08,10.461346430821651,4,critical (risk)
us_iran_gulf_conflict::maritime_attack_rate,us_iran_gulf_conflict,Maritime attack rate,28.0,13.0,active (lever),5.05,2.4,18.82,8.76,10.327892990343184,3,active (lever)
us_iran_gulf_conflict::kinetic_military_pressur,us_iran_gulf_conflict,Kinetic military pressure,24.0,14.0,active (lever),2.7,3.7,15.479999999999999,9.88,10.300402639578243,4,active (lever)
tech_ai_geopolitical_riv::model_capability_level,tech_ai_geopolitical_riv,Model capability level,30.0,28.0,critical (risk),5.9,0.0,20.36,16.8,9.495683683361193,4,critical (risk)
