node,parent_core,label,local_AS,local_PS,local_role,AS_ext,PS_ext,global_AS,global_PS,bridge_score,n_bridged_cores,global_role
treasury_market_stress::market_volatility,treasury_market_stress,Market volatility,26.0,30.0,critical (risk),8.55,12.25,19.02,22.9,33.476308578629286,4,critical (risk)
russia_ukraine_war::critical_supply_risk,russia_ukraine_war,Critical supply risk,30.0,30.0,critical (risk),8.55,7.749999999999999,21.42,21.1,26.233837972675836,4,critical (risk)
russia_ukraine_war::international_support_fl,russia_ukraine_war,International support flow,26.0,23.0,critical (risk),7.5,5.7,18.6,16.08,21.244580444130122,4,critical (risk)
iran_maritime_pressure::shipping_insurance_premi,iran_maritime_pressure,Shipping insurance premia,13.0,23.0,reactive (sensor),8.1,4.65,11.04,15.66,20.52033338353478,4,reactive (sensor)
treasury_market_stress::long_term_yields,treasury_market_stress,Long-term bond yields,24.0,37.0,critical (risk),5.85,5.8500000000000005,16.74,24.54,18.83042357547897,4,critical (risk)
us_canada_tariff_row::political_pressure_level,us_canada_tariff_row,Domestic political pressure,25.0,19.0,active (lever),0.0,10.600000000000001,15.0,15.64,17.060041871801467,4,critical (risk)
us_china_tech_rivalry::chip_manufacturing_cap,us_china_tech_rivalry,Advanced chip manufacturing capacity,22.0,17.0,active (lever),4.65,4.800000000000001,15.059999999999999,12.12,15.20918827250225,4,active (lever)
us_china_tech_rivalry::ai_capital_flow,us_china_tech_rivalry,AI capital flow,23.0,23.0,critical (risk),3.7,5.1499999999999995,15.28,15.86,14.243525525041786,4,critical (risk)
russia_ukraine_war::market_disruption,russia_ukraine_war,Market disruption,23.0,24.0,reactive (sensor),6.300000000000001,2.4000000000000004,16.32,15.36,12.06076094174305,3,critical (risk)
iran_maritime_pressure::oil_flow_volume,iran_maritime_pressure,Oil transit volume,25.0,28.0,critical (risk),5.8,1.5,17.32,17.400000000000002,11.748896760768933,4,critical (risk)
us_china_tech_rivalry::deployment_rate_ai,us_china_tech_rivalry,AI operational deployment rate,23.0,32.0,critical (risk),4.3999999999999995,2.7,15.559999999999999,20.28,11.42700917828211,4,critical (risk)
us_canada_tariff_row::industrial_interdependen,us_canada_tariff_row,Industrial interdependence,26.0,14.0,active (lever),4.5,3.6000000000000005,17.4,9.84,8.89875953821169,2,active (lever)
us_china_tech_rivalry::compute_capacity,us_china_tech_rivalry,Compute capacity,19.0,25.0,critical (risk),2.4000000000000004,3.05,12.360000000000001,16.22,7.555304268103404,3,reactive (sensor)
us_canada_tariff_row::tariff_rate,us_canada_tariff_row,Average applied tariff rate,28.0,21.0,critical (risk),2.8,2.4,17.92,13.559999999999999,7.20873067782343,3,critical (risk)
us_china_tech_rivalry::model_capability,us_china_tech_rivalry,AI model capability,22.0,24.0,critical (risk),4.85,0.0,15.139999999999999,14.399999999999999,6.723527651431469,3,critical (risk)
