node,parent_core,label,local_AS,local_PS,local_role,AS_ext,PS_ext,global_AS,global_PS,bridge_score,n_bridged_cores,global_role
global_energy_security::operating_margin_level,global_energy_security,Operating margin level,21.0,23.0,critical (risk),8.04,10.200000000000001,15.815999999999999,17.88,29.356147522797993,4,critical (risk)
strait_of_hormuz::crude_export_flow_rate,strait_of_hormuz,Crude export flow rate,23.0,29.0,critical (risk),7.1,5.9,16.64,19.759999999999998,20.922692861643302,4,critical (risk)
global_energy_security::cash_liquidity_level,global_energy_security,Cash and liquidity level,17.0,22.0,reactive (sensor),5.0,7.95,12.2,16.38,20.842220966021596,4,reactive (sensor)
strait_of_hormuz::oil_price_level,strait_of_hormuz,Oil price level,17.0,31.0,reactive (sensor),6.199999999999999,6.300000000000001,12.68,21.119999999999997,20.117973905426254,4,reactive (sensor)
monetary_currency_shift::monetary_policy_stance,monetary_currency_shift,Monetary policy stance,32.0,22.0,active (lever),6.200000000000001,6.050000000000001,21.68,15.62,19.715614427317732,4,critical (risk)
global_energy_security::investor_sentiment_index,global_energy_security,Investor sentiment index,18.0,28.0,reactive (sensor),2.6,8.950000000000001,11.84,20.380000000000003,18.58900788861386,4,reactive (sensor)
monetary_currency_shift::exchange_rate_level,monetary_currency_shift,Exchange rate level,23.0,30.0,critical (risk),7.700000000000001,3.65,16.88,19.46,18.26712030612704,4,critical (risk)
russia_ukraine_war::interceptor_stocks,russia_ukraine_war,Interceptor stock levels,24.0,24.0,critical (risk),2.4,8.100000000000001,15.36,17.64,16.899098080558055,4,critical (risk)
russia_ukraine_war::critical_infra_vuln,russia_ukraine_war,Critical infrastructure vulnerability,25.0,23.0,active (lever),5.7,4.65,17.28,15.66,16.65768239369294,4,critical (risk)
us_china_tech_rivalry::cross_border_capital_flo,us_china_tech_rivalry,Cross-border capital flow rate,24.0,28.0,critical (risk),4.550000000000001,5.5,16.22,19.0,16.17485101996271,4,critical (risk)
us_china_tech_rivalry::export_controls_level,us_china_tech_rivalry,Export controls restrictiveness,25.0,9.0,active (lever),6.25,3.6000000000000005,17.5,6.84,15.85296343747589,4,active (lever)
russia_ukraine_war::drone_attack_rate,russia_ukraine_war,Drone attack rate,33.0,18.0,active (lever),9.4,0.0,23.560000000000002,10.799999999999999,15.128716376880543,4,active (lever)
us_china_tech_rivalry::ai_dc_investment_rate,us_china_tech_rivalry,AI and data-center investment rate,24.0,31.0,critical (risk),1.6,7.44,15.04,21.575999999999997,14.549318728404268,4,critical (risk)
us_china_tech_rivalry::advanced_chip_capacity,us_china_tech_rivalry,Advanced semiconductor production capacity,18.0,26.0,reactive (sensor),2.5999999999999996,4.9,11.839999999999998,17.56,12.070784343255752,4,reactive (sensor)
