id,title,type,timeline_kind,timeline_label,date,start,end,probability,impact_score,expected_impact,event_PS,event_AS,n_vars,affected_ids,rationale
us_trade_subsidy_actions_solar_chips,US trade and subsidy push on solar & chips,process,horizon,6 months,,2026-08-09,2027-02-09,0.8,264.0,211.2,16.818,24.0,5,"trade_control_level, subsidy_intensity, regulatory_scrutiny, cross_border_capital, investor_risk_perception",“Trump unveils trade actions to compete with China on solar and chips”; implies combined export controls and subsidies.
republican_push_block_chips_to_china,US push to block advanced chips to sanctioned Chinese firms,process,horizon,6 months,,2026-08-10,2027-02-10,0.7,222.0,155.4,19.0,22.2,4,"trade_control_level, regulatory_scrutiny, tech_transfer_rate, investor_risk_perception",“Key Republican urges US to stop any advanced chips from reaching sanctioned Chinese firms”
us_2bn_battery_program,US $2B battery/materials funding awards,event,date,imminent awards,2026-08-10,,,0.9,219.0,197.1,24.333,24.333,4,"subsidy_intensity, adv_manuf_capacity, cross_border_capital, critical_materials_avail","“U.S. Pledges $2 Billion for Battery, Materials Producers” / “Trump Administration to Award $2 Billion...”"
us_dod_invests_australian_rare_earths,US backing of Australian rare-earth miner,process,horizon,12 months,,2026-08-10,2027-08-10,0.9,170.0,153.0,25.714,24.286,3,"critical_materials_avail, cross_border_capital, supply_chain_resilience",“US backs Australian rare earth miner to cut out China” / “Australian rare earth miner surges after U.S. Department of Defense investment”
sk_chip_fund_3_5bn,South Korea $3.5B chip fund launch,process,horizon,by end of year,,2026-08-11,2026-12-31,0.85,149.0,126.65,25.0,21.286,3,"subsidy_intensity, adv_manuf_capacity, relocalization_rate","“South Korea to launch $3.5 billion chip fund, speed development of semiconductor hubs”"
sk_airbase_relocation_chip_cluster,South Korea airbase relocation for chip cluster (by mid‑2028),process,horizon,by mid-2028,,2026-08-10,2028-06-30,0.85,138.0,117.3,29.875,17.25,3,"relocalization_rate, adv_manuf_capacity, access_adv_equipment",“South Korea's Lee wants military airbase relocated by mid-2028 for chip cluster”
samsung_sdi_buys_gm_jv,Samsung SDI buys GM stake in US battery JV,event,date,announcement date,2026-08-11,,,0.95,135.0,128.25,29.0,19.286,3,"relocalization_rate, adv_manuf_capacity, jv_partnering_rate","“Samsung SDI ends GM battery JV, plans to take full ownership of Indiana plant” / “Samsung SDI Buys GM’s Stake in U.S. Battery JV”"
hanwha_offer_austal,Hanwha bid for Austal's U.S. operations,event,date,announcement date,2026-08-11,,,0.7,120.0,84.0,26.333,20.0,3,"defense_procurement, cross_border_capital, adv_manuf_capacity",“Hanwha Offers to Buy Builder of U.S. Navy Ships” / “Shipbuilder Austal gets $1.2 billion offer”
chile_copper_reinvestment,Chile allows state copper miner to reinvest profits,process,date,immediate,2026-08-11,,,0.8,80.0,64.0,24.333,26.667,2,"critical_materials_avail, cross_border_capital",“Chile allows ailing state copper miner to reinvest all profits for first time”
glencore_rescue_sherritt,Glencore-backed rescue of Sherritt cobalt refiner,process,horizon,3 months,,2026-08-11,2026-11-30,0.6,80.0,48.0,24.333,26.667,2,"critical_materials_avail, cross_border_capital",“Glencore-backed group looks to rescue cobalt refiner Sherritt”
china_ice_silk_road_arctic,China expands Arctic 'Ice Silk Road' shipping routes,process,horizon,12 months,,2026-08-10,2027-08-10,0.8,78.0,62.4,20.5,19.5,2,"supply_chain_resilience, chokepoint_congestion",“China bypasses shipping chokepoints with ‘Ice Silk Road’ through Arctic”
