node,parent_core,label,local_AS,local_PS,local_role,AS_ext,PS_ext,global_AS,global_PS,bridge_score,n_bridged_cores,global_role
us_china_tech_rivalry::compromised_hardware_rat,us_china_tech_rivalry,Prevalence of compromised hardware,26.0,19.0,active (lever),8.100000000000001,8.600000000000001,18.84,14.840000000000002,26.87761313764948,4,critical (risk)
ai_economic_transformati::chip_supply_pressure,ai_economic_transformati,Advanced chip supply pressure,26.0,22.0,critical (risk),6.6,9.2,18.24,16.88,25.42911901645878,4,critical (risk)
us_trade_coercion::supply_chain_disruption,us_trade_coercion,Supply‑chain disruption rate,25.0,17.0,critical (risk),6.9,7.95,17.76,13.379999999999999,23.90015299964639,4,active (lever)
ai_economic_transformati::regulatory_restrictions,ai_economic_transformati,Regulatory restriction intensity,29.0,19.0,active (lever),6.949999999999999,6.75,20.18,14.100000000000001,22.049299400347174,4,critical (risk)
russia_ukraine_war::intel_sharing_rate,russia_ukraine_war,Intelligence sharing rate,27.0,27.0,critical (risk),6.000000000000001,7.450000000000001,18.6,19.18,21.646939922238655,4,critical (risk)
us_trade_coercion::policy_uncertainty_level,us_trade_coercion,Policy uncertainty level,23.0,23.0,critical (risk),4.3,9.15,15.52,17.46,21.646939922238648,4,critical (risk)
us_china_tech_rivalry::detection_attribution,us_china_tech_rivalry,Detection and attribution capacity,24.0,25.0,critical (risk),5.960000000000001,7.300000000000001,16.784,17.92,21.34114671887617,4,critical (risk)
iran_hormuz_conflict::maritime_security,iran_hormuz_conflict,Maritime transit security,30.0,15.0,active (lever),5.1,7.7,20.04,12.08,20.600805279156486,4,active (lever)
us_trade_coercion::reciprocal_retaliation,us_trade_coercion,Reciprocal retaliation intensity,34.0,13.0,active (lever),5.1000000000000005,7.16,22.439999999999998,10.664,19.73170880644207,4,active (lever)
russia_ukraine_war::military_pressure_level,russia_ukraine_war,Military pressure level,35.0,32.0,critical (risk),6.2,5.4,23.48,21.36,18.669479784235566,4,critical (risk)
iran_hormuz_conflict::kinetic_escalation,iran_hormuz_conflict,Kinetic escalation pressure,36.0,14.0,active (lever),7.1,4.1,24.439999999999998,10.040000000000001,18.025704619261923,4,active (lever)
us_china_tech_rivalry::ai_attack_enhancement,us_china_tech_rivalry,AI-enabled attack enhancement,31.0,8.0,active (lever),6.1,3.6000000000000005,21.04,6.24,15.611547750610772,4,active (lever)
russia_ukraine_war::escalation_risk,russia_ukraine_war,Escalation risk,34.0,35.0,critical (risk),7.8,1.7999999999999998,23.52,21.72,15.450603959367362,4,critical (risk)
ai_economic_transformati::ai_compute_capacity,ai_economic_transformati,AI compute capacity,28.0,30.0,critical (risk),7.35,2.5,19.740000000000002,19.0,13.654999457030922,3,critical (risk)
us_trade_coercion::tariff_escalation_speed,us_trade_coercion,Tariff escalation speed,33.0,13.0,active (lever),3.8,4.26,21.32,9.504,12.972069574218846,4,active (lever)
russia_ukraine_war::alliance_cohesion,russia_ukraine_war,Alliance cohesion,33.0,24.0,active (lever),5.3999999999999995,2.5999999999999996,21.96,15.439999999999998,12.8755032994728,4,critical (risk)
iran_hormuz_conflict::energy_risk_premium,iran_hormuz_conflict,Energy supply risk premium,6.0,35.0,reactive (sensor),3.9000000000000004,4.05,5.16,22.62,11.021040170903131,3,reactive (sensor)
ai_economic_transformati::ai_investment_rate,ai_economic_transformati,AI investment rate,30.0,30.0,critical (risk),0.0,6.799999999999999,18.0,20.72,10.944177804551881,4,critical (risk)
ai_economic_transformati::geopolitical_risk,ai_economic_transformati,Geopolitical sourcing risk,31.0,16.0,active (lever),4.699999999999999,1.4,20.479999999999997,10.16,9.817571265848011,4,active (lever)
iran_hormuz_conflict::econ_pressure,iran_hormuz_conflict,Economic pressure,32.0,24.0,critical (risk),3.35,2.5999999999999996,20.54,15.439999999999998,9.576155578982895,4,critical (risk)
us_trade_coercion::tariff_rate,us_trade_coercion,Applied tariff level,29.0,13.0,active (lever),2.8,2.4000000000000004,18.52,8.76,7.208730677823431,3,active (lever)
iran_hormuz_conflict::chokepoint_throughput,iran_hormuz_conflict,Chokepoint throughput,24.0,29.0,critical (risk),2.7,1.7999999999999998,15.479999999999999,18.119999999999997,4.943755299006494,2,critical (risk)
russia_ukraine_war::backchannel_activity,russia_ukraine_war,Backchannel diplomatic activity,25.0,24.0,buffering (inert),0.0,2.8,15.0,15.519999999999998,3.076114408270707,2,critical (risk)
us_china_tech_rivalry::corporate_cyber_investme,us_china_tech_rivalry,Corporate cyber hardening investment,22.0,30.0,critical (risk),1.2,1.4,13.68,18.56,1.8021826694558576,1,reactive (sensor)
us_china_tech_rivalry::economic_loss_rate_cyber,us_china_tech_rivalry,Economic loss rate from cyber operations,17.0,35.0,reactive (sensor),1.36,0.0,10.744,21.0,0.9426801655615257,1,reactive (sensor)
iran_hormuz_conflict::sec_sanc_risk,iran_hormuz_conflict,Perceived secondary sanctions risk,23.0,18.0,buffering (inert),0.0,0.0,13.799999999999999,10.799999999999999,0.0,0,buffering (inert)
iran_hormuz_conflict::shipping_bottlenecks,iran_hormuz_conflict,Shipping bottleneck density,25.0,24.0,critical (risk),0.0,0.0,15.0,14.399999999999999,0.0,0,critical (risk)
iran_hormuz_conflict::oil_volatility,iran_hormuz_conflict,Oil price volatility,4.0,29.0,reactive (sensor),0.0,0.0,2.4,17.4,0.0,0,reactive (sensor)
iran_hormuz_conflict::marine_insurance_costs,iran_hormuz_conflict,Maritime insurance costs,12.0,22.0,buffering (inert),0.0,0.0,7.199999999999999,13.2,0.0,0,buffering (inert)
iran_hormuz_conflict::refinery_disruption,iran_hormuz_conflict,Refinery operational disruption,17.0,19.0,buffering (inert),0.0,0.0,10.2,11.4,0.0,0,buffering (inert)
iran_hormuz_conflict::sanc_bypass_activity,iran_hormuz_conflict,Sanctions‑bypass activity,24.0,23.0,critical (risk),0.0,0.0,14.399999999999999,13.799999999999999,0.0,0,critical (risk)
iran_hormuz_conflict::tanker_disruption,iran_hormuz_conflict,Tanker movement disruption,29.0,24.0,critical (risk),0.0,0.0,17.4,14.399999999999999,0.0,0,critical (risk)
iran_hormuz_conflict::domestic_fuel_pressure,iran_hormuz_conflict,Domestic fuel supply pressure,14.0,24.0,reactive (sensor),0.0,0.0,8.4,14.399999999999999,0.0,0,reactive (sensor)
iran_hormuz_conflict::finance_restrictions,iran_hormuz_conflict,Financial transaction restrictions,25.0,10.0,active (lever),0.0,0.0,15.0,6.0,0.0,0,active (lever)
iran_hormuz_conflict::diplomacy_expectations,iran_hormuz_conflict,Market expectations of diplomacy,21.0,21.0,buffering (inert),0.0,0.0,12.6,12.6,0.0,0,buffering (inert)
iran_hormuz_conflict::alt_route_capacity,iran_hormuz_conflict,Alternative route capacity,20.0,11.0,buffering (inert),0.0,0.0,12.0,6.6,0.0,0,buffering (inert)
russia_ukraine_war::mobilization_readiness,russia_ukraine_war,Mobilization readiness,26.0,28.0,critical (risk),0.0,0.0,15.6,16.8,0.0,0,critical (risk)
us_china_tech_rivalry::offensive_tool_avail,us_china_tech_rivalry,Availability of commercial offensive tools,23.0,10.0,active (lever),0.0,0.0,13.799999999999999,6.0,0.0,0,buffering (inert)
russia_ukraine_war::military_supply_rate,russia_ukraine_war,Military supply flow rate,24.0,28.0,reactive (sensor),0.0,0.0,14.399999999999999,16.8,0.0,0,critical (risk)
russia_ukraine_war::elite_deescalation_conf,russia_ukraine_war,Elite confidence in de‑escalation,23.0,30.0,reactive (sensor),0.0,0.0,13.799999999999999,18.0,0.0,0,reactive (sensor)
russia_ukraine_war::cyber_space_interference,russia_ukraine_war,Cyber/space interference level,27.0,19.0,active (lever),0.0,0.0,16.2,11.4,0.0,0,active (lever)
russia_ukraine_war::strategic_signaling_rate,russia_ukraine_war,Strategic signaling rate,24.0,29.0,reactive (sensor),0.0,0.0,14.399999999999999,17.4,0.0,0,critical (risk)
russia_ukraine_war::civilian_incident_rate,russia_ukraine_war,Civilian security incident rate,24.0,24.0,buffering (inert),0.0,0.0,14.399999999999999,14.399999999999999,0.0,0,critical (risk)
russia_ukraine_war::command_control_resilien,russia_ukraine_war,Command-and-control resilience,26.0,25.0,active (lever),0.0,0.0,15.6,15.0,0.0,0,critical (risk)
russia_ukraine_war::crisis_comm_capacity,russia_ukraine_war,Crisis communication capacity,26.0,26.0,active (lever),0.0,0.0,15.6,15.6,0.0,0,critical (risk)
russia_ukraine_war::deterrence_credibility,russia_ukraine_war,Deterrence credibility,22.0,33.0,reactive (sensor),0.0,0.0,13.2,19.8,0.0,0,reactive (sensor)
russia_ukraine_war::frozen_asset_pressure,russia_ukraine_war,Frozen‑asset reallocation pressure,25.0,18.0,buffering (inert),0.0,0.0,15.0,10.799999999999999,0.0,0,active (lever)
russia_ukraine_war::sanctions_pressure,russia_ukraine_war,Sanctions pressure,22.0,21.0,buffering (inert),0.0,0.0,13.2,12.6,0.0,0,buffering (inert)
us_china_tech_rivalry::data_exfiltration_volume,us_china_tech_rivalry,Volume of data exfiltrated,19.0,29.0,reactive (sensor),0.0,0.0,11.4,17.4,0.0,0,reactive (sensor)
us_china_tech_rivalry::outage_duration_severity,us_china_tech_rivalry,Service outage duration and severity,20.0,30.0,reactive (sensor),0.0,0.0,12.0,18.0,0.0,0,reactive (sensor)
us_china_tech_rivalry::perceived_cyber_risk,us_china_tech_rivalry,Public and market perceived cyber risk,14.0,33.0,reactive (sensor),0.0,0.0,8.4,19.8,0.0,0,reactive (sensor)
us_china_tech_rivalry::market_sensitivity_to_cy,us_china_tech_rivalry,Market sensitivity to cyber incidents,9.0,24.0,reactive (sensor),0.0,0.0,5.3999999999999995,14.399999999999999,0.0,0,reactive (sensor)
us_china_tech_rivalry::regulatory_stringency,us_china_tech_rivalry,Regulatory and policy stringency,25.0,20.0,active (lever),0.0,0.0,15.0,12.0,0.0,0,active (lever)
us_china_tech_rivalry::mil_dip_alignment,us_china_tech_rivalry,Military and diplomatic alignment intensity,22.0,15.0,active (lever),0.0,0.0,13.2,9.0,0.0,0,buffering (inert)
us_china_tech_rivalry::takedown_effectiveness,us_china_tech_rivalry,Law-enforcement and disruption effectiveness,24.0,21.0,critical (risk),0.0,0.0,14.399999999999999,12.6,0.0,0,active (lever)
us_china_tech_rivalry::supply_chain_complexity,us_china_tech_rivalry,Interconnected supply-chain complexity,20.0,2.0,buffering (inert),0.0,0.0,12.0,1.2,0.0,0,buffering (inert)
us_china_tech_rivalry::offensive_cyber_capacity,us_china_tech_rivalry,Offensive cyber capability level,24.0,20.0,active (lever),0.0,0.0,14.399999999999999,12.0,0.0,0,active (lever)
