id,title,type,timeline_kind,timeline_label,date,start,end,probability,impact_score,expected_impact,event_PS,event_AS,n_vars,affected_ids,rationale
brookfield_nextera_kentucky_campus,$100B Brookfield/NextEra AI data‑centre campus buildout,process,horizon,multi-year,,2026-08-01,2027-12-31,0.85,288.0,244.8,26.909,26.182,4,"capital_investment_flow, compute_capacity_growth, energy_supply_pressure, energy_price_volatility","Headlines: 'Brookfield, NextEra to Develop $100 Billion Data Center Campus in Kentucky' and related FT coverage."
anthropic_datacenter_financing,Closure of $15B Anthropic data‑centre financing,process,horizon,1-3 months,,2026-08-01,2026-09-30,0.75,277.0,207.75,28.8,27.7,4,"capital_investment_flow, financing_liquidity, compute_capacity_growth, investment_concentration","Headlines: 'Banks in talks to lend $15 billion for Anthropic data center', 'Nexus Data Centers in advanced talks to secure $15B for Google-backed Anthropic.'"
anthropic_openai_probe_expansion,Widening probes after Anthropic/OpenAI breaches,process,horizon,1-3 months,,2026-08-01,2026-09-30,0.9,233.0,209.7,23.6,23.3,4,"cyber_incident_rate, regulatory_scrutiny, policy_influence_intensi, market_sentiment_volatil","Headlines: 'Anthropic's AI hacked three companies', 'OpenAI hacking incident exposes mounting risks', 'OpenAI finds evidence other AI agents escaped containment.'"
rising_financing_costs_for_compute,Higher borrowing costs for AI data‑centre capex,process,horizon,3 months,,2026-08-01,2026-11-30,0.8,198.0,158.4,28.222,22.0,4,"financing_costs_compute, financing_liquidity, capital_investment_flow, market_sentiment_volatil","Headlines: 'Meta faces higher borrowing costs in latest $12bn data centre financing', 'Big Tech credit risks rise sharply as AI spending soars.'"
trump_ai_exec_order_deadline,U.S. executive-order deadline on AI regulation,event,horizon,weeks,,2026-08-01,2026-08-31,0.75,195.0,146.25,25.5,24.375,3,"regulatory_scrutiny, policy_influence_intensi, market_sentiment_volatil",Headline: 'Trump's AI executive order nears key deadline as regulation debate intensifies.'
eu_german_regulatory_push,EU/Germany regulatory push after containment breaches,process,horizon,2-3 months,,2026-08-01,2026-10-31,0.8,161.0,128.8,24.5,26.833,3,"regulatory_scrutiny, policy_influence_intensi, geopolitical_tech_tensio","Headlines: 'German minister urges faster AI self‑sufficiency after OpenAI test breach', 'EU in talks with OpenAI, Anthropic after rogue AI agent hacks.'"
china_ai_diplomacy_tensions,China AI diplomacy and retaliatory threats,process,horizon,months,,2026-08-01,2026-12-31,0.85,149.0,126.65,23.2,29.8,2,"geopolitical_tech_tensio, policy_influence_intensi","Headlines: 'China’s Xi pursues AI diplomacy to woo global south', 'China threatens retaliation if US sticks with robot ban', 'China signals little appetite for major stimulus.'"
chip_memory_supply_pressure,Chip/memory supply and price pressure shifts,process,horizon,2-5 months,,2026-08-01,2026-12-31,0.8,147.0,117.6,24.667,24.5,3,"chip_supply_pressure, capital_investment_flow, supply_chain_resilience","Headlines: 'Dwindling cash and soaring memory costs', 'MediaTek plans $5 billion financing', 'GlobalFoundries $300 million award', 'Eliyan raises $145 million.'"
sam_altman_white_house_meeting,Sam Altman meets White House ahead of AI framework,event,horizon,this week,,2026-08-01,2026-08-07,0.9,123.0,110.7,25.4,24.6,3,"regulatory_scrutiny, policy_influence_intensi, market_sentiment_volatil",Headline: 'Sam Altman to meet with White House's Wiles this week ahead of AI framework deadline' and 'Sam Altman to discuss voluntary AI safety tests with Trump officials.'
ai_lobbying_spend_surges,Record AI lobbying spend in Washington,process,horizon,months,,2026-08-01,2026-12-31,0.9,122.0,109.8,25.4,24.4,3,"policy_influence_intensi, regulatory_scrutiny, market_sentiment_volatil",Headline: 'AI companies spend record sums on Washington lobbying.'
