id,title,type,timeline_kind,timeline_label,date,start,end,probability,impact_score,expected_impact,event_PS,event_AS,n_vars,affected_ids,rationale
nvidia_earnings_report,Nvidia earnings / market reaction,event,date,on reported Wednesday,2026-08-26,,,0.95,157.0,149.15,21.875,19.625,4,"ai_capital_flow, market_concentration, server_price_change, cloud_capacity_util",Headlines: 'What Nvidia says on Wednesday to address concerns...' and multiple stories calling Nvidia earnings a market test.
groq_racks_online_by_yearend,Groq racks come online,event,horizon,by end of year,,2026-08-25,2026-12-31,0.9,138.0,124.2,22.571,19.714,3,"compute_capacity, server_inventory, market_concentration",Headline: 'Nvidia says Groq racks will be online this year following $20 billion purchase.'
ai_price_competition_process,Frontier model price competition,process,horizon,ongoing months,,2026-08-23,2026-12-31,0.95,119.0,113.05,27.167,19.833,4,"deployment_rate_ai, cloud_capacity_util, ai_capital_flow, model_capability",Headlines: 'OpenAI cuts developer pricing for frontier GPT-5.6 Sol...' and 'OpenAI and Anthropic in price war...'.
china_h200_policy_easing,China eases H200 chip limits (flow increase),process,horizon,near term policy window,,2026-08-23,2026-12-31,0.9,112.0,100.8,18.0,18.667,3,"export_control_tightness, compute_capacity, server_inventory",Headline: 'China eases limits on Nvidia H200 chips as AI race escalates.'
server_price_pressure,Server and memory price pressure,process,horizon,months,,2026-08-23,2026-12-31,0.85,104.0,88.4,23.333,17.333,4,"server_price_change, deployment_rate_ai, ai_capital_flow, compute_capacity",Headlines: 'Nvidia customers face over 15% server price hikes...' and 'memory costs soar'.
nvidia_cloverleaf_deal,Nvidia investment in data-center power (Cloverleaf),event,horizon,weeks–months,,2026-08-25,2026-11-30,0.6,100.0,60.0,22.4,20.0,3,"server_inventory, compute_capacity, market_concentration",Headlines: 'Nvidia invests in data center developer Cloverleaf Infrastructure' and 'in talks to invest in Cloverleaf.'
taiwan_smuggling_indictments,Taiwan smuggling indictments and prosecutions,process,horizon,months,,2026-08-24,2027-06-30,0.8,98.0,78.4,14.8,19.6,4,"supply_chain_risk, export_control_tightness, compute_capacity, server_inventory",Headlines: 'Taiwan Charges Nine in Connection With Smuggling of AI Servers to China' and 'Taiwan issues indictments...'.
meta_hatch_launch,Meta launches Hatch agent platform,event,horizon,coming weeks,,2026-08-24,2026-10-05,0.9,97.0,87.3,27.8,19.4,3,"deployment_rate_ai, cloud_capacity_util, ai_capital_flow",Headline: 'Meta to launch Hatch AI agent platform in coming weeks.'
waymo_germany_expansion,Waymo testing in Munich and Germany rollout,process,horizon,testing now; launch 2027,,2026-08-25,2027-12-31,0.85,96.0,81.6,23.4,19.2,4,"deployment_rate_ai, model_capability, regulatory_scrutiny, public_trust_ai",Headlines: 'Waymo to begin testing autonomous vehicles in Munich' and 'Waymo to launch driverless rides in Germany in 2027.'
nvidia_perplexity_invest_talks,Nvidia-Perplexity investment talks,event,horizon,months,,2026-08-24,2026-12-31,0.6,93.0,55.8,21.75,23.25,3,"market_concentration, ai_capital_flow, model_capability",Headline: 'Nvidia in talks to invest in Perplexity at $30B valuation.'
brazil_supercomputer_push,Brazil AI supercomputer push,process,horizon,months,,2026-08-23,2027-06-30,0.8,83.0,66.4,24.25,20.75,3,"compute_capacity, ai_capital_flow, model_capability","Headline: 'Brazil launches AI supercomputer push, splits projects between Chinese, US firms.'"
spacex_nvidia_satellites_2027,SpaceX Nvidia-powered AI satellites (2027),process,horizon,in 2027,,2027-01-01,2027-12-31,0.7,76.0,53.2,24.0,19.0,3,"compute_capacity, cloud_capacity_util, market_concentration",Headline: 'SpaceX plans to put Nvidia-powered AI satellites in orbit next year.'
