node,parent_core,label,local_AS,local_PS,local_role,AS_ext,PS_ext,global_AS,global_PS,bridge_score,n_bridged_cores,global_role
energy_geopolitics_shift::supply_disruption_risk,energy_geopolitics_shift,Supply disruption risk,33.0,27.0,critical (risk),11.45,9.0,24.380000000000003,19.8,32.91300530927735,4,critical (risk)
ai_tech_competition::model_capability,ai_tech_competition,Model capability,31.0,20.0,critical (risk),7.799999999999999,6.35,21.72,14.54,22.773546460942516,4,critical (risk)
us_iran_gulf_conflict::oil_price,us_iran_gulf_conflict,Global oil price level,14.0,25.0,reactive (sensor),7.4,6.15,11.360000000000001,17.46,21.80788371348206,4,reactive (sensor)
russia_ukraine_war::supply_chain_integrity,russia_ukraine_war,Strategic supply‑chain integrity,26.0,25.0,critical (risk),6.4,6.449999999999999,18.16,17.58,20.681277174778188,4,critical (risk)
monetary_bond_stress::long_term_bond_yields,monetary_bond_stress,Long-term bond yields,18.0,34.0,reactive (sensor),7.8,4.9,13.919999999999998,22.36,20.439861487913074,4,critical (risk)
us_iran_gulf_conflict::sanctions_pressure,us_iran_gulf_conflict,Sanctions pressure level,24.0,7.0,active (lever),7.1,5.55,17.24,6.42,20.359389592291365,4,active (lever)
monetary_bond_stress::sovereign_borrowing_cost,monetary_bond_stress,Sovereign borrowing costs,18.0,31.0,reactive (sensor),5.75,6.25,13.1,21.099999999999998,19.313254949209202,4,reactive (sensor)
ai_tech_competition::investment_flow,ai_tech_competition,Investment flow,22.0,21.0,critical (risk),3.3,8.2,14.52,15.879999999999999,18.508535992992154,4,critical (risk)
energy_geopolitics_shift::control_over_reserves,energy_geopolitics_shift,Control over oil reserves,29.0,27.0,critical (risk),4.699999999999999,6.2,19.279999999999998,18.68,17.54287324553169,4,critical (risk)
monetary_bond_stress::portfolio_flow_volumes,monetary_bond_stress,Portfolio flow volumes,20.0,28.0,critical (risk),4.7,6.15,13.88,19.26,17.46240134990999,4,critical (risk)
russia_ukraine_war::kinetic_attack_intensity,russia_ukraine_war,Kinetic attack intensity,35.0,30.0,critical (risk),9.600000000000001,1.2,24.84,18.48,17.381929454288283,4,critical (risk)
russia_ukraine_war::defense_procurement_rate,russia_ukraine_war,Defense procurement rate,25.0,29.0,critical (risk),3.8000000000000003,6.6,16.52,20.04,16.738154289314643,4,critical (risk)
us_iran_gulf_conflict::tanker_incidents,us_iran_gulf_conflict,Tanker incident rate,23.0,16.0,active (lever),5.2,4.700000000000001,15.879999999999999,11.48,15.933435333097597,4,active (lever)
energy_geopolitics_shift::capital_commitments,energy_geopolitics_shift,Investor capital commitments,26.0,35.0,critical (risk),2.5,6.85,16.6,23.740000000000002,15.048244481258838,4,critical (risk)
russia_ukraine_war::alliance_cohesion,russia_ukraine_war,Alliance political‑military cohesion,31.0,21.0,active (lever),7.2,1.1,21.479999999999997,13.04,13.358334673203034,4,active (lever)
ai_tech_competition::automation_adoption_rate,ai_tech_competition,Automation adoption rate,23.0,26.0,critical (risk),3.5000000000000004,4.5,15.2,17.4,12.875503299472802,4,critical (risk)
russia_ukraine_war::military_force_strength,russia_ukraine_war,Military force strength,27.0,31.0,critical (risk),2.5999999999999996,5.6,17.24,20.839999999999996,11.367613761183101,3,critical (risk)
us_iran_gulf_conflict::market_risk_premium,us_iran_gulf_conflict,Market risk premium,5.0,26.0,reactive (sensor),5.25,2.4000000000000004,5.1,16.56,10.605151862567164,3,reactive (sensor)
energy_geopolitics_shift::oil_production_capacity,energy_geopolitics_shift,Oil production capacity,24.0,29.0,reactive (sensor),1.2,5.95,14.879999999999999,19.779999999999998,9.912004682007218,3,critical (risk)
ai_tech_competition::regulatory_pressure,ai_tech_competition,Regulatory pressure,23.0,22.0,critical (risk),1.1,4.6,14.239999999999998,15.04,9.17379610087437,4,critical (risk)
monetary_bond_stress::short_rate_expectations,monetary_bond_stress,Short-term rate expectations,25.0,22.0,critical (risk),2.4,3.5000000000000004,15.96,14.6,8.179136730607356,3,critical (risk)
energy_geopolitics_shift::intl_legal_risk,energy_geopolitics_shift,International legal contestation risk,27.0,22.0,active (lever),4.75,0.0,18.099999999999998,13.2,6.58489821531948,3,critical (risk)
ai_tech_competition::market_concentration,ai_tech_competition,Market concentration,24.0,20.0,critical (risk),2.5999999999999996,1.2,15.439999999999998,12.48,5.267918572255584,3,active (lever)
monetary_bond_stress::policy_signal_intensity,monetary_bond_stress,Policy signal intensity,25.0,17.0,active (lever),0.0,3.3,15.0,11.52,3.625420552604762,2,active (lever)
us_iran_gulf_conflict::oil_export_flow,us_iran_gulf_conflict,Oil export flow,17.0,24.0,critical (risk),0.0,1.4,10.2,14.959999999999999,0.9704060527839233,1,reactive (sensor)
us_iran_gulf_conflict::naval_control,us_iran_gulf_conflict,Naval control of key waterways,21.0,12.0,active (lever),0.0,0.0,12.6,7.199999999999999,0.0,0,buffering (inert)
us_iran_gulf_conflict::secondary_sanctions,us_iran_gulf_conflict,Secondary sanctions scope,21.0,4.0,active (lever),0.0,0.0,12.6,2.4,0.0,0,buffering (inert)
us_iran_gulf_conflict::military_engagement,us_iran_gulf_conflict,Military engagement intensity,25.0,17.0,active (lever),0.0,0.0,15.0,10.2,0.0,0,active (lever)
us_iran_gulf_conflict::transaction_frictions,us_iran_gulf_conflict,Financial transaction frictions,15.0,20.0,reactive (sensor),0.0,0.0,9.0,12.0,0.0,0,buffering (inert)
us_iran_gulf_conflict::trade_reorientation,us_iran_gulf_conflict,Trade reorientation rate,14.0,21.0,reactive (sensor),0.0,0.0,8.4,12.6,0.0,0,buffering (inert)
us_iran_gulf_conflict::banking_access,us_iran_gulf_conflict,Cross-border banking access,13.0,12.0,buffering (inert),0.0,0.0,7.8,7.199999999999999,0.0,0,buffering (inert)
us_iran_gulf_conflict::shipping_risk,us_iran_gulf_conflict,Shipping route risk,22.0,19.0,critical (risk),0.0,0.0,13.2,11.4,0.0,0,buffering (inert)
us_iran_gulf_conflict::munitions_stock,us_iran_gulf_conflict,Munitions stock level,6.0,10.0,buffering (inert),0.0,0.0,3.5999999999999996,6.0,0.0,0,buffering (inert)
us_iran_gulf_conflict::escalation_feedback,us_iran_gulf_conflict,Escalation feedback pressure,26.0,11.0,active (lever),0.0,0.0,15.6,6.6,0.0,0,active (lever)
us_iran_gulf_conflict::inflation_pressure,us_iran_gulf_conflict,Global inflationary pressure,6.0,19.0,reactive (sensor),0.0,0.0,3.5999999999999996,11.4,0.0,0,buffering (inert)
us_iran_gulf_conflict::commodity_shortage,us_iran_gulf_conflict,Commodity supply shortage,12.0,21.0,reactive (sensor),0.0,0.0,7.199999999999999,12.6,0.0,0,buffering (inert)
russia_ukraine_war::infra_resilience,russia_ukraine_war,Critical infrastructure resilience,21.0,18.0,buffering (inert),0.0,0.0,12.6,10.799999999999999,0.0,0,buffering (inert)
monetary_bond_stress::realized_inflation_rate,monetary_bond_stress,Realized inflation rate,30.0,6.0,active (lever),0.0,0.0,18.0,3.5999999999999996,0.0,0,active (lever)
russia_ukraine_war::info_ops_intensity,russia_ukraine_war,Information operations intensity,24.0,19.0,active (lever),0.0,0.0,14.399999999999999,11.4,0.0,0,active (lever)
russia_ukraine_war::public_safety_perception,russia_ukraine_war,Public safety perception,19.0,28.0,reactive (sensor),0.0,0.0,11.4,16.8,0.0,0,reactive (sensor)
russia_ukraine_war::arms_transfer_rate,russia_ukraine_war,Arms transfer rate,22.0,23.0,buffering (inert),0.0,0.0,13.2,13.799999999999999,0.0,0,reactive (sensor)
russia_ukraine_war::mobilization_readiness,russia_ukraine_war,Mobilization and reserve readiness,25.0,29.0,critical (risk),0.0,0.0,15.0,17.4,0.0,0,critical (risk)
russia_ukraine_war::sanctions_pressure,russia_ukraine_war,Sanctions and financial pressure,23.0,15.0,buffering (inert),0.0,0.0,13.799999999999999,9.0,0.0,0,active (lever)
russia_ukraine_war::deterrence_effectiveness,russia_ukraine_war,Deterrence effectiveness,21.0,31.0,reactive (sensor),0.0,0.0,12.6,18.599999999999998,0.0,0,reactive (sensor)
russia_ukraine_war::munitions_stockpile,russia_ukraine_war,Munitions stockpile level,18.0,25.0,reactive (sensor),0.0,0.0,10.799999999999999,15.0,0.0,0,reactive (sensor)
russia_ukraine_war::cyberattack_rate,russia_ukraine_war,Cyber‑attack rate,23.0,19.0,buffering (inert),0.0,0.0,13.799999999999999,11.4,0.0,0,active (lever)
