node,parent_core,label,local_AS,local_PS,local_role,AS_ext,PS_ext,global_AS,global_PS,bridge_score,n_bridged_cores,global_role
iran_gulf_conflict::military_escalation_leve,iran_gulf_conflict,Military escalation level,36.0,4.0,active (lever),13.1,6.1499999999999995,26.839999999999996,4.859999999999999,30.98167981435643,4,active (lever)
us_asia_alliance_stress::joint_drill_intensity,us_asia_alliance_stress,Joint military exercise intensity,31.0,29.0,critical (risk),6.200000000000001,10.85,21.08,21.74,27.44091640700141,4,critical (risk)
israel_palestine_conflic::cross_border_strikes,israel_palestine_conflic,Cross-border strikes,28.0,22.0,critical (risk),6.35,9.05,19.34,16.82,24.785343851485145,4,critical (risk)
iran_gulf_conflict::attacks_on_shipping_rate,iran_gulf_conflict,Attacks on shipping rate,33.0,6.0,active (lever),7.25,7.250000000000001,22.700000000000003,6.5,23.336849730294453,4,active (lever)
russia_ukraine_war::military_support_stock,russia_ukraine_war,International military support,17.0,16.0,active (lever),5.8,8.05,12.52,12.82,22.29071508721229,4,reactive (sensor)
us_asia_alliance_stress::deterrence_credibility,us_asia_alliance_stress,Deterrence credibility,26.0,37.0,reactive (sensor),7.25,5.5,18.5,24.4,20.52033338353478,4,critical (risk)
russia_ukraine_war::drone_diffusion_rate,russia_ukraine_war,Drone capability diffusion,23.0,13.0,active (lever),7.250000000000001,4.6,16.7,9.64,19.071839262344092,4,active (lever)
us_china_rivalry::regulatory_scrutiny_inte,us_china_rivalry,Regulatory scrutiny intensity,23.0,18.0,active (lever),3.9000000000000004,7.6000000000000005,15.36,13.84,18.508535992992154,4,critical (risk)
us_china_rivalry::ai_hardware_capex_rate,us_china_rivalry,AI hardware capex rate,21.0,26.0,critical (risk),5.3999999999999995,6.45,14.76,18.18,16.427588179270703,3,critical (risk)
israel_palestine_conflic::security_incident_rate,israel_palestine_conflic,Security incident frequency,27.0,27.0,critical (risk),6.8,1.75,18.919999999999998,16.9,13.760694151311558,4,critical (risk)
us_china_rivalry::compute_infrastructure_c,us_china_rivalry,Compute infrastructure capacity,18.0,23.0,reactive (sensor),5.3,2.5999999999999996,12.919999999999998,14.839999999999998,12.71455950822939,4,critical (risk)
us_asia_alliance_stress::alliance_policy_alignmen,us_asia_alliance_stress,Alliance policy alignment,35.0,31.0,critical (risk),4.5,3.8,22.8,20.119999999999997,11.506243197295094,3,critical (risk)
iran_gulf_conflict::market_price_volatility,iran_gulf_conflict,Market price volatility,5.0,32.0,reactive (sensor),1.3,5.0,3.52,21.2,10.139458848334831,4,reactive (sensor)
us_china_rivalry::ai_capital_inflow_rate,us_china_rivalry,AI capital inflow rate,27.0,25.0,critical (risk),4.5,2.5,18.0,16.0,9.704060527839234,3,critical (risk)
us_asia_alliance_stress::diplomacy_engagement_rat,us_asia_alliance_stress,Diplomatic engagement rate,31.0,23.0,active (lever),2.5,4.0,19.599999999999998,15.399999999999999,9.010913347279288,3,critical (risk)
israel_palestine_conflic::casualty_rate,israel_palestine_conflic,Casualty rate,22.0,29.0,critical (risk),3.7,2.4,14.68,18.36,8.456395602831332,3,critical (risk)
russia_ukraine_war::air_defense_capacity,russia_ukraine_war,Air-defence capacity,19.0,16.0,active (lever),2.5,3.3,12.4,10.92,8.040507294495365,3,buffering (inert)
israel_palestine_conflic::diplomatic_mediation,israel_palestine_conflic,Diplomatic mediation,24.0,20.0,active (lever),2.3,2.7,15.319999999999999,13.08,6.931471805599453,3,critical (risk)
russia_ukraine_war::kinetic_strike_intensity,russia_ukraine_war,Kinetic strike intensity,31.0,19.0,critical (risk),2.4000000000000004,2.2,19.56,12.280000000000001,6.376954061151498,3,active (lever)
russia_ukraine_war::crossborder_incident_rat,russia_ukraine_war,Cross-border incident rate,24.0,13.0,active (lever),2.5,1.1,15.399999999999999,8.24,4.990659700031606,3,active (lever)
