id,title,type,timeline_kind,timeline_label,date,start,end,probability,impact_score,expected_impact,event_PS,event_AS,n_vars,affected_ids,rationale
china_exit_and_tech_controls_enforcement,China tightens exit/tech controls enforcement,process,horizon,next 6 months,,2026-09-17,2027-03-31,0.95,265.0,251.75,21.091,24.091,5,"regulatory_restrictions, talent_mobility_rate, data_ip_restrictions, rnd_collaboration_rate, geo_tension_level","Multiple items: 'China Tightens Exit Restrictions', 'new tech, national security exit rules take effect', 'China tightens control of overseas travel.'"
skhynix_intel_us_memory_talks,SK Hynix–Intel US memory talks,process,horizon,next 9 months,,2026-09-17,2027-06-30,0.6,208.0,124.8,24.556,23.111,5,"advanced_chip_capacity, manufacturing_reshoring, tech_capital_inflow_rate, supply_chain_concentrati, talent_mobility_rate",Exclusive reports: 'SK Hynix in talks with Intel about deal to make memory chips in the US.'
japan_us_550bn_chip_plant,Japan–US $550bn chip plant talks,process,horizon,by end of 2027,,2026-09-17,2027-12-31,0.6,206.0,123.6,24.0,22.889,4,"advanced_chip_capacity, manufacturing_reshoring, tech_capital_inflow_rate, supply_chain_concentrati","Headlines: 'Japan, U.S. discuss building chip plant under $550 bln investment talks.'"
openai_preipo_funding_round,OpenAI pre-IPO funding round,event,horizon,6 months,,2026-09-17,2027-03-31,0.75,133.0,99.75,24.333,22.167,3,"tech_capital_inflow_rate, tech_market_liquidity, ai_capability_growth",Reports: 'OpenAI considers funding round at $1.2tn valuation ahead of delayed IPO.'
22bn_chip_loan_deployment,Deployment of $22bn chip financing,process,horizon,6–21 months,,2026-09-17,2028-06-30,0.8,123.0,98.4,26.0,24.6,3,"advanced_chip_capacity, tech_capital_inflow_rate, manufacturing_reshoring","Headline: 'Banks provide $22 billion chip loan to Blackstone, Alphabet AI cloud venture, source says.'"
applied_materials_india_investment,Applied Materials $5bn India investment,event,horizon,by end of 2027,,2026-09-17,2027-12-31,0.85,122.0,103.7,22.5,20.333,4,"manufacturing_reshoring, supply_chain_concentrati, chip_tech_diffusion_rate, advanced_chip_capacity",Headline: 'Applied Materials to invest $5 billion in India as Modi's flagship chip event kicks off.'
us_chip_labor_crunch,Labor crunch at U.S. chip fabs,process,horizon,next 9 months,,2026-09-17,2027-06-30,0.8,110.0,88.0,20.333,18.333,3,"talent_mobility_rate, advanced_chip_capacity, production_cost_gap","Headline: 'Labor crisis in U.S. chip manufacturing leaves Samsung, TSMC desperate for talent.'"
china_ai_lab_acceleration,China AI labs accelerate development push,process,horizon,next 15 months,,2026-09-17,2027-12-31,0.75,100.0,75.0,27.5,25.0,3,"ai_capability_growth, rnd_collaboration_rate, tech_capital_inflow_rate","Headlines: 'China’s AI labs must accelerate development, says Huawei chair' and 'China Also Thinks AI Could Kill Us. But First, It Wants to Match the U.S.'"
china_policy_push_for_advanced_manufacturing,"China push for bigger, stronger advanced manufacturing",process,horizon,within 12 months,,2026-09-17,2027-09-30,0.8,88.0,70.4,22.5,22.0,3,"advanced_chip_capacity, tech_capital_inflow_rate, domestic_demand_strength","Headlines: 'Xi calls for ""bigger, stronger"" advanced manufacturing sector' and China's economic weakness/investment slump."
asml_high_na_adoption,High-NA EUV adoption by customers,process,horizon,12–16 months,,2026-09-17,2028-01-01,0.7,82.0,57.4,20.8,16.4,3,"chip_tech_diffusion_rate, advanced_chip_capacity, production_cost_gap",Headline: 'ASML extends chipmaking dominance as customers embrace High NA.'
