node,parent_core,label,local_AS,local_PS,local_role,AS_ext,PS_ext,global_AS,global_PS,bridge_score,n_bridged_cores,global_role
us_china_tech_rivalry::compute_capacity_growth,us_china_tech_rivalry,Compute capacity growth rate,16.0,22.0,critical (risk),8.6,7.200000000000001,13.04,16.08,25.429119016458785,4,critical (risk)
china_maritime_pressure::militarization_level,china_maritime_pressure,Regional militarization level,17.0,10.0,active (lever),8.450000000000001,6.9,13.58,8.76,24.704871955863442,4,active (lever)
us_china_tech_rivalry::regulatory_pressure,us_china_tech_rivalry,Regulatory and oversight pressure,24.0,20.0,critical (risk),8.65,6.000000000000001,17.86,14.4,23.57826541715957,4,critical (risk)
hormuz_standoff::geo_tension_level,hormuz_standoff,Geopolitical tension level,37.0,10.0,active (lever),7.050000000000001,7.050000000000001,25.02,8.82,22.693074565320817,4,active (lever)
russia_ukraine_war::escalation_perception,russia_ukraine_war,Escalation expectation perception,14.0,24.0,critical (risk),7.500000000000001,6.1,11.4,16.84,21.888355609103765,4,critical (risk)
global_monetary_stress::cross_border_flow_rate,global_monetary_stress,Cross-Border Capital Flow Rate,22.0,26.0,reactive (sensor),6.9,5.8,15.959999999999999,17.919999999999998,20.439861487913074,4,critical (risk)
us_china_tech_rivalry::ai_infra_financing_flow,us_china_tech_rivalry,AI infrastructure financing flow,25.0,21.0,critical (risk),3.3999999999999995,9.299999999999999,16.36,16.32,20.439861487913074,4,critical (risk)
global_monetary_stress::safe_haven_flow,global_monetary_stress,Safe-Haven Demand Flow,24.0,28.0,critical (risk),5.0,7.5,16.4,19.8,20.117973905426254,4,critical (risk)
hormuz_standoff::maritime_incident_rate,hormuz_standoff,Maritime incident rate,28.0,12.0,active (lever),6.15,5.750000000000001,19.26,9.5,19.152311157965798,4,active (lever)
global_monetary_stress::monetary_policy_tightnes,global_monetary_stress,Monetary Policy Tightness,26.0,22.0,active (lever),5.05,6.75,17.62,15.899999999999999,18.991367366722386,4,critical (risk)
russia_ukraine_war::drone_attack_intensity,russia_ukraine_war,Drone attack intensity,29.0,9.0,active (lever),4.45,6.7,19.18,8.08,17.94523272364022,4,active (lever)
global_monetary_stress::intervention_intensity,global_monetary_stress,Intervention Intensity,29.0,19.0,active (lever),3.8,5.1,18.919999999999998,13.440000000000001,14.32399742066349,4,critical (risk)
china_maritime_pressure::trade_flow_volume,china_maritime_pressure,Cross-border trade flow volume,13.0,21.0,critical (risk),2.4,7.300000000000001,8.76,15.52,13.44705530286294,3,reactive (sensor)
china_maritime_pressure::export_control_stringenc,china_maritime_pressure,Export control stringency,22.0,15.0,critical (risk),5.05,3.6000000000000005,15.219999999999999,10.440000000000001,11.991446223687054,3,critical (risk)
russia_ukraine_war::fuel_export_volume,russia_ukraine_war,Fuel export volume,8.0,27.0,reactive (sensor),5.6,2.5,7.039999999999999,17.2,11.228984325071114,3,reactive (sensor)
hormuz_standoff::oil_export_via_hormuz,hormuz_standoff,Oil export volume via Hormuz,28.0,22.0,critical (risk),4.8,2.0999999999999996,18.72,14.04,11.105121595795291,4,critical (risk)
hormuz_standoff::global_oil_price,hormuz_standoff,Global oil price,14.0,33.0,reactive (sensor),4.949999999999999,2.4000000000000004,10.38,20.76,10.189263554231195,3,critical (risk)
us_china_tech_rivalry::financial_integration,us_china_tech_rivalry,Financial integration of AI assets,21.0,18.0,critical (risk),1.2,4.8999999999999995,13.08,12.759999999999998,9.817571265848011,4,critical (risk)
russia_ukraine_war::maritime_attack_intensit,russia_ukraine_war,Maritime attack intensity,31.0,7.0,active (lever),4.65,1.1,20.459999999999997,4.640000000000001,7.971192576439371,3,active (lever)
china_maritime_pressure::supply_concentration,china_maritime_pressure,Supply chain geographic concentration,19.0,17.0,critical (risk),2.4,3.3,12.36,11.52,7.901877858383375,3,critical (risk)
russia_ukraine_war::shipping_throughput_rate,russia_ukraine_war,Shipping throughput rate,14.0,23.0,critical (risk),2.3,2.0999999999999996,9.32,14.639999999999999,6.099695188927518,3,reactive (sensor)
china_maritime_pressure::semiconductor_capacity,china_maritime_pressure,Semiconductor production capacity,19.0,18.0,critical (risk),2.4000000000000004,2.5,12.360000000000001,11.799999999999999,5.383200214473739,2,critical (risk)
hormuz_standoff::maritime_traffic_hormuz,hormuz_standoff,Maritime traffic through Hormuz,22.0,20.0,critical (risk),2.4,1.2,14.16,12.48,3.955004239205195,2,critical (risk)
hormuz_standoff::fuel_consumption_rate,hormuz_standoff,Fuel consumption rate,10.0,3.0,buffering (inert),0.0,0.0,6.0,1.7999999999999998,0.0,0,buffering (inert)
hormuz_standoff::volatility_expectations,hormuz_standoff,Market volatility expectations,9.0,25.0,reactive (sensor),0.0,0.0,5.3999999999999995,15.0,0.0,0,reactive (sensor)
hormuz_standoff::shipping_insurance,hormuz_standoff,Shipping insurance premium,11.0,22.0,reactive (sensor),0.0,0.0,6.6,13.2,0.0,0,reactive (sensor)
hormuz_standoff::alternative_routing_shar,hormuz_standoff,Alternative routing share,19.0,18.0,critical (risk),0.0,0.0,11.4,10.799999999999999,0.0,0,critical (risk)
hormuz_standoff::sanctions_intensity,hormuz_standoff,Sanctions intensity,16.0,8.0,active (lever),0.0,0.0,9.6,4.8,0.0,0,buffering (inert)
hormuz_standoff::regional_military_level,hormuz_standoff,Regional military level,22.0,10.0,active (lever),0.0,0.0,13.2,6.0,0.0,0,active (lever)
hormuz_standoff::financial_risk_premium,hormuz_standoff,Financial risk premium,6.0,21.0,reactive (sensor),0.0,0.0,3.5999999999999996,12.6,0.0,0,reactive (sensor)
hormuz_standoff::global_oil_inventory,hormuz_standoff,Global oil inventory,8.0,16.0,buffering (inert),0.0,0.0,4.8,9.6,0.0,0,buffering (inert)
hormuz_standoff::refinery_throughput,hormuz_standoff,Refinery throughput rate,9.0,13.0,buffering (inert),0.0,0.0,5.3999999999999995,7.8,0.0,0,buffering (inert)
hormuz_standoff::environmental_damage,hormuz_standoff,Environmental damage extent,10.0,13.0,buffering (inert),0.0,0.0,6.0,7.8,0.0,0,buffering (inert)
hormuz_standoff::policy_adjustment_rate,hormuz_standoff,Policy adjustment rate,20.0,23.0,critical (risk),0.0,0.0,12.0,13.799999999999999,0.0,0,critical (risk)
russia_ukraine_war::insurance_premiums,russia_ukraine_war,Insurance and security premiums,11.0,22.0,reactive (sensor),0.0,0.0,6.6,13.2,0.0,0,reactive (sensor)
russia_ukraine_war::food_price_index,russia_ukraine_war,Food price index,3.0,15.0,reactive (sensor),0.0,0.0,1.7999999999999998,9.0,0.0,0,buffering (inert)
us_china_tech_rivalry::model_openness_level,us_china_tech_rivalry,Model openness level,13.0,7.0,buffering (inert),0.0,0.0,7.8,4.2,0.0,0,buffering (inert)
