node,parent_core,label,local_AS,local_PS,local_role,AS_ext,PS_ext,global_AS,global_PS,bridge_score,n_bridged_cores,global_role
global_bond_turmoil::cross_border_flows,global_bond_turmoil,Cross-border capital flows,10.0,20.0,reactive (sensor),5.6499999999999995,9.85,8.26,15.94,24.946287642728553,4,reactive (sensor)
russia_ukraine_war::sanctions_pressure_level,russia_ukraine_war,Sanctions pressure level,25.0,17.0,active (lever),10.25,4.65,19.1,12.059999999999999,23.980624895268093,4,active (lever)
energy_supply_shock::energy_supply_flow,energy_supply_shock,Energy supply flow rate,19.0,25.0,critical (risk),5.9,8.55,13.760000000000002,18.42,23.25637783467275,4,critical (risk)
us_china_tech_rivalry::geopolitical_tension,us_china_tech_rivalry,Geopolitical tension,32.0,24.0,critical (risk),11.549999999999999,2.7,23.82,15.479999999999999,22.934490252185928,4,critical (risk)
energy_supply_shock::energy_price_level,energy_supply_shock,Energy price level,34.0,36.0,critical (risk),6.4,7.800000000000001,22.96,24.72,22.854018356564225,4,critical (risk)
russia_ukraine_war::kinetic_strike_intensity,russia_ukraine_war,Kinetic strike intensity,27.0,22.0,critical (risk),10.05,3.9,20.22,14.76,22.4516588784557,4,critical (risk)
energy_supply_shock::sanction_intensity,energy_supply_shock,Sanctions and trade restriction intensity,23.0,11.0,active (lever),10.6,2.7,18.04,7.68,21.405524235373534,4,active (lever)
us_china_tech_rivalry::industrial_policy_streng,us_china_tech_rivalry,Industrial policy strength,30.0,24.0,critical (risk),6.799999999999999,5.8500000000000005,20.72,16.74,20.359389592291365,4,critical (risk)
us_iran_confrontation::military_deployment_leve,us_iran_confrontation,Force deployment level,25.0,25.0,critical (risk),4.35,7.999999999999999,16.74,18.2,19.876558218561136,4,critical (risk)
russia_ukraine_war::alliance_cohesion_level,russia_ukraine_war,Alliance cohesion,24.0,17.0,active (lever),3.8,7.85,15.919999999999998,13.34,18.749951679857265,4,critical (risk)
energy_supply_shock::refined_inventory_level,energy_supply_shock,Refined fuel inventories,19.0,20.0,critical (risk),6.000000000000001,4.1,13.8,13.64,16.255322915584415,4,critical (risk)
global_bond_turmoil::bond_market_volatility,global_bond_turmoil,Bond market volatility,10.0,25.0,reactive (sensor),2.4,7.3999999999999995,6.96,17.96,15.772491541854182,4,reactive (sensor)
us_iran_confrontation::oil_flow_disruption_rate,us_iran_confrontation,Oil flow disruption rate,26.0,21.0,critical (risk),7.45,2.3,18.58,13.52,15.692019646232477,4,critical (risk)
us_china_tech_rivalry::compute_resource_conc,us_china_tech_rivalry,Compute resource concentration,31.0,24.0,critical (risk),1.2,5.8500000000000005,19.08,16.74,11.346537282660409,4,critical (risk)
us_iran_confrontation::maritime_incident_rate,us_iran_confrontation,Maritime incident rate,28.0,20.0,active (lever),5.4,1.4,18.96,12.56,10.944177804551883,4,active (lever)
global_bond_turmoil::long_term_bond_yield,global_bond_turmoil,Long-term bond yield,12.0,27.0,critical (risk),2.5,4.85,8.2,18.14,10.189263554231195,3,reactive (sensor)
