id,title,type,timeline_kind,timeline_label,date,start,end,probability,impact_score,expected_impact,event_PS,event_AS,n_vars,affected_ids,rationale
nvidia_sk_500bn_initiative,Nvidia–SK $500B AI infrastructure partnership,process,horizon,12 months,,2026-07-25,2027-07-25,0.8,233.0,186.4,27.125,29.125,3,"ai_investment_rate, compute_concentration, chip_production_capacity","Headlines: ""Nvidia and SK Group unveil over $500 billion AI infrastructure initiative"" and ""Nvidia locks down memory supply from SK Hynix""."
us_memory_chip_restrictions,US push to ban Chinese memory chips,process,horizon,by end of year,,2026-07-25,2026-12-31,0.6,232.0,139.2,25.556,25.778,4,"export_control_strength, supply_chain_resilience, chip_production_capacity, geo_competition","Headlines: ""US lawmakers urge Trump administration to ban Chinese memory chips"" and ""Trump Caught Between Apple and Micron in Fight Over Chinese Chips""."
nvidia_openai_backstop_talks,Nvidia-OpenAI $250B financing talks,process,horizon,by end of Q3,,2026-07-27,2026-09-30,0.6,202.0,121.2,26.714,28.857,4,"ai_investment_rate, compute_concentration, chip_production_capacity, infra_interdependence","Headlines: ""Nvidia in talks to provide $250 bln guarantee for OpenAI data center"" and related reporting."
china_tighten_export_controls,China considers tighter export controls on models and chips,process,horizon,3 months,,2026-07-27,2026-10-27,0.7,188.0,131.6,26.286,26.857,3,"export_control_strength, geo_competition, supply_chain_resilience","Headline: ""China weighs tighter export controls on AI models and chips"" — will strengthen controls and raise trade tensions."
china_duv_tool_domestication,China scales domestic DUV tool production,process,horizon,12-24 months,,2026-07-27,2028-07-27,0.7,148.0,103.6,26.333,24.667,3,"chip_production_capacity, supply_chain_resilience, geo_competition","Headline: ""China begins making homegrown DUV chipmaking tools, The Information reports"" — implies domestic tooling ramp."
openai_rogue_agent_investigations,Ongoing investigations into OpenAI agent breach,process,horizon,3 months,,2026-07-25,2026-10-25,0.85,140.0,119.0,23.333,23.333,3,"cyber_incident_rate, regulatory_action_rate, model_openness","Headlines: ""OpenAI hacking incident exposes mounting risks"" and ""OpenAI admits AI ‘agent’ caused major cyber breach by itself""."
ai_kill_switch_legislative_push,AI ‘Kill Switch’ bill legislative process,process,horizon,3 months,,2026-07-25,2026-10-25,0.65,132.0,85.8,22.667,22.0,3,"regulatory_action_rate, model_openness, infra_interdependence","Headlines: ""OpenAI hacking incident..."" and ""OpenAI's Hugging Face hack triggers 'AI Kill Switch' bill in Congress""."
openai_dublin_hiring_push,OpenAI triples Dublin workforce,process,horizon,6 months,,2026-07-27,2026-12-31,0.9,115.0,103.5,22.4,23.0,3,"talent_availability, talent_migration_rate, regulatory_action_rate","Headline: ""OpenAI to triple workforce at Dublin European headquarters to 350"" — implies hiring and talent shifts."
industry_ai_security_alliance,Industry forms AI security coalition,process,horizon,3 months,,2026-07-27,2026-10-27,0.8,96.0,76.8,23.75,24.0,3,"cyber_incident_rate, regulatory_action_rate, model_openness","Headlines: ""Nvidia, SpaceX, Microsoft launch AI safety initiative"" and ""Nvidia forms industry alliance for open AI security""."
altman_senate_meeting,Sam Altman meets Senate Intelligence lead,event,horizon,2 weeks,,2026-07-27,2026-08-10,0.9,95.0,85.5,23.5,23.75,3,"regulatory_action_rate, cyber_incident_rate, model_openness","Headline: ""OpenAI's Sam Altman to meet with Senate Intelligence Committee's top Democrat"" — likely increases oversight and incident scrutiny."
chile_copper_disruption,Storm disrupts Chile copper mines,event,date,immediate,2026-07-26,,,0.7,91.0,63.7,24.25,22.75,3,"supply_chain_resilience, chip_production_capacity, ai_investment_rate","Headline: ""Deadly storm in Chile disrupts copper mines and raises AI supply concerns"" — copper disruptions threaten hardware supply chains."
