id,title,type,timeline_kind,timeline_label,date,start,end,probability,impact_score,expected_impact,event_PS,event_AS,n_vars,affected_ids,rationale
large_scale_ukraine_drone_campaign,Continued large-scale Ukrainian drone assaults,process,horizon,weeks–months,,2026-08-19,2026-10-31,0.85,240.0,204.0,16.9,24.0,5,"kinetic_strike_intensity, air_defense_capacity, crossborder_incident_rat, logistics_vulnerability, military_support_stock",Headlines: 'Ukraine launches 620 drones at Moscow region' / 'Ukraine presses drone attacks on Moscow and Russian logistics' / 'Ukraine’s drones strike Moscow region'
patriot_interceptor_depletion,Patriot interceptor depletion and resupply gap,process,horizon,near term,,2026-08-19,2026-09-30,0.8,153.0,122.4,16.857,21.857,3,"air_defense_capacity, military_support_stock, kinetic_strike_intensity",Headline: 'Ukraine left exposed as Patriot launchers run empty'
eu_far_reaching_sanctions_autumn2026,EU autumn sanctions package,process,horizon,autumn 2026,,2026-09-01,2026-11-30,0.8,137.0,109.6,18.375,17.125,4,"sanctions_pressure_level, legal_diplomatic_conflic, economic_resilience_leve, energy_price_stress",Headlines: 'EU plans most far-reaching sanctions package against Russia in autumn' / 'EU plans most far-reaching sanctions against Russia in coming months'
nato_airspace_drone_shootdowns,NATO shootdowns and airspace incidents,process,horizon,next 6 weeks,,2026-08-19,2026-09-30,0.6,136.0,81.6,15.286,19.429,4,"crossborder_incident_rat, legal_diplomatic_conflic, air_defense_capacity, military_support_stock",Headlines: 'NATO Jets Down Suspected Russian Drone Over Romania' / 'Suspected Russian drone shot down in Romanian airspace'
new_ukraine_defence_minister_policy_shift,Policy shifts after Ukraine names new defence minister,process,horizon,weeks,,2026-08-19,2026-09-30,0.6,116.0,69.6,16.333,19.333,3,"recruitment_flow_rate, military_support_stock, kinetic_strike_intensity",Headline: 'Ukraine's parliament approves Yevhenii Khmara as new defence minister'
sabotage_attempts_on_drone_suppliers,Persistent sabotage attempts against suppliers,process,horizon,next 3 months,,2026-08-19,2026-11-30,0.6,102.0,61.2,17.2,20.4,3,"drone_diffusion_rate, supply_chain_disruption, legal_diplomatic_conflic",Headline: 'Suspected sabotage attack fails to disrupt Milrem deliveries to Ukraine'
uk_arms_shipments_and_russian_warnings,UK drone supplies and Russian diplomatic warnings,process,horizon,months,,2026-08-19,2026-12-31,0.8,96.0,76.8,15.6,19.2,3,"drone_diffusion_rate, legal_diplomatic_conflic, sanctions_pressure_level","Headlines: 'Russia warns UK of ‘consequences’ over Ukraine’s use of British-made drones' / 'UK will continue to support Ukraine ""100%""'"
zaporizhzhia_nuclear_site_investigation,IAEA scrutiny after drone explosion at Zaporizhzhia,event,horizon,weeks,,2026-08-19,2026-09-30,0.7,78.0,54.6,17.2,15.6,4,"legal_diplomatic_conflic, crossborder_incident_rat, air_defense_capacity, public_support_perceptio","Headline: 'IAEA: drone exploded at Zaporizhzhia nuclear plant bus stop, killing one'"
rebuilding_logistics_warehouses_russia,Russian government rebuilds logistics warehouses,process,horizon,months,,2026-08-19,2026-12-31,0.75,59.0,44.25,20.667,19.667,2,"logistics_vulnerability, economic_resilience_leve",Headline: 'Putin orders government to help rebuild warehouses destroyed in Ukrainian attacks'
russia_far_east_drone_trade_tests,Russia's Far East drone and unmanned-truck tests for trade,process,horizon,months,,2026-08-19,2027-03-31,0.6,46.0,27.6,13.0,23.0,1,drone_diffusion_rate,Headline: 'Russia's Far East to test drones and unmanned trucks for trade with China'
ew_drone_tests_usmc,Electronic-warfare drone development and tests,process,horizon,months,,2026-08-19,2026-12-31,0.5,42.0,21.0,14.5,21.0,2,"drone_diffusion_rate, air_defense_capacity",Headline: 'Kratos Valkyrie drone demonstrates electronic warfare in USMC test'
