id,title,type,timeline_kind,timeline_label,date,start,end,probability,impact_score,expected_impact,event_PS,event_AS,n_vars,affected_ids,rationale
continued_russian_missile_drone_campaign,Sustained Russian missile and drone assaults,process,horizon,next 4-6 weeks,,2026-08-23,2026-09-30,0.9,347.0,312.3,25.077,26.692,5,"strike_campaign_intensit, civilian_casualty_rate, critical_infra_damage, displacement_level, escalation_pressure","Headlines: 'Russia launches deadly missile and drone attacks on Kyiv', 'Russian strikes kill 17 in Ukraine', 'Russian 'double-tap' strike on shopping centre kills 16'"
ukraine_strikes_russian_energy_logistics,Ukraine attacks Russian energy and logistics sites,process,horizon,weeks-months,,2026-08-21,2026-10-31,0.8,271.0,216.8,22.889,30.111,5,"strike_campaign_intensit, critical_infra_damage, energy_market_disruption, trade_logistics_disrupti, escalation_pressure","Headlines: 'Ukraine hits Russia's TANECO oil refinery, oil terminal', 'Ukrainian drones hit Ozon warehouse/Orenburg warehouse'"
russian_300k_mobilisation_after_sept,"Russian mobilisation of ~300,000 after elections",process,horizon,after Sept elections,,2026-09-01,2026-12-31,0.7,223.0,156.1,26.0,27.875,4,"escalation_pressure, strike_campaign_intensit, displacement_level, logistics_resilience","Headlines: 'Putin will draft 300,000 new troops after September elections, Zelenskiy says' and 'Russia Tests Readiness for New Round of Military Mobilization'"
patriot_munitions_depletion,Depletion of Patriot munitions / launcher shortages,process,horizon,near-term,,2026-08-21,2026-09-30,0.85,182.0,154.7,25.571,26.0,3,"air_defense_availability, civilian_casualty_rate, escalation_pressure","Headlines: 'Ukraine left exposed as Patriot launchers run empty', 'Dwindling Patriot Supplies Leave Kyiv in the Line of Fire'"
norway_support_2027,Norway pledge: >$9bn to Ukraine in 2027,event,horizon,in 2027,,2027-01-01,2027-12-31,0.95,157.0,149.15,25.833,26.167,4,"intl_support_sentiment, logistics_resilience, external_arms_supply_rat, cumulative_economic_cost",Headline: 'Norway to give over $9 billion to Ukraine in 2027'
france_accelerates_air_defense,France accelerates air‑defence deliveries,process,horizon,weeks-months,,2026-08-22,2026-10-15,0.85,153.0,130.05,23.667,25.5,4,"air_def_replen_rate, air_defense_availability, external_arms_supply_rat, intl_support_sentiment","Headline: 'France agrees to accelerate air defence deliveries to Ukraine, Zelenskiy says'"
coalition_meeting_2026_08_24,Franco‑British‑German co‑chair meeting (Mon),event,date,1 day,2026-08-24,,,0.75,136.0,102.0,21.4,27.2,3,"external_arms_supply_rat, intl_support_sentiment, air_def_replen_rate","Headline: 'French, British, German leaders to co-chair meeting on Ukraine on Monday'"
incidents_near_europe_gas_assets,Attacks/incidents near European gas projects,process,horizon,weeks-months,,2026-08-21,2026-10-31,0.7,129.0,90.3,21.8,25.8,3,"energy_market_disruption, trade_logistics_disrupti, escalation_pressure","Headlines: 'Romania scrambles F-16 to destroy drone near critical European gas project', 'Romania destroys marine drone near Neptun Deep gas project'"
private_sector_targeting_assist,Private‑sector targeting assistance (Musk/tech),process,horizon,weeks,,2026-08-22,2026-09-30,0.6,124.0,74.4,26.0,31.0,3,"strike_campaign_intensit, command_control_status, escalation_pressure",Headlines: 'Ukraine seeks Musk’s help to hit Russian missile launchers' (repeated)
ousted_defmin_us_funding_trip,Ousted Ukrainian defence minister's US funding trip,event,horizon,weeks-months,,2026-08-25,2026-09-30,0.6,82.0,49.2,21.667,27.333,3,"external_arms_supply_rat, intl_support_sentiment, leadership_stability",Headline: 'Ukraine's ousted defence minister plans US trip to raise project funding'
