node,parent_core,label,local_AS,local_PS,local_role,AS_ext,PS_ext,global_AS,global_PS,bridge_score,n_bridged_cores,global_role
red_sea_hormuz_crisis::financial_market_volatil,red_sea_hormuz_crisis,Financial market volatility,6.0,21.0,critical (risk),7.3500000000000005,7.8999999999999995,6.54,15.76,21.140989007078332,3,reactive (sensor)
global_rate_market_shock::financial_conditions_ind,global_rate_market_shock,Financial conditions index,30.0,34.0,critical (risk),6.9,6.05,20.76,22.82,20.842220966021596,4,critical (risk)
brics_economic_realignme::external_financial_links,brics_economic_realignme,External financial link strength,23.0,26.0,critical (risk),5.55,6.9,16.02,18.36,20.037502009804548,4,critical (risk)
us_china_tech_rivalry::ai_investment_flow,us_china_tech_rivalry,Investment flow into AI,26.0,28.0,critical (risk),2.4000000000000004,10.0,16.56,20.8,19.957030114182842,4,critical (risk)
brics_economic_realignme::crossborder_capital_vol,brics_economic_realignme,Cross‑border capital flow volatility,27.0,26.0,critical (risk),6.000000000000001,6.300000000000001,18.6,18.12,19.796086322939434,4,critical (risk)
us_china_tech_rivalry::crossborder_competition,us_china_tech_rivalry,Cross-border competition intensity,30.0,22.0,active (lever),7.200000000000001,4.8,20.880000000000003,15.12,19.313254949209202,4,critical (risk)
red_sea_hormuz_crisis::maritime_security_risk,red_sea_hormuz_crisis,Perceived maritime security risk,18.0,3.0,active (lever),7.05,3.8000000000000003,13.62,3.3200000000000003,17.46240134990999,4,active (lever)
russia_ukraine_warfare::sanctions_severity,russia_ukraine_warfare,Sanctions severity,23.0,15.0,active (lever),7.199999999999999,2.3,16.68,9.92,15.289660168123953,4,active (lever)
global_rate_market_shock::policy_rate_expectations,global_rate_market_shock,Policy rate expectations,25.0,18.0,active (lever),5.7,3.7,17.28,12.28,15.128716376880543,4,critical (risk)
red_sea_hormuz_crisis::cargo_rerouting_volume,red_sea_hormuz_crisis,Cargo rerouting volume,7.0,9.0,critical (risk),4.6,4.65,6.04,7.26,14.887300690015428,4,buffering (inert)
brics_economic_realignme::state_control_intensity,brics_economic_realignme,State control intensity,41.0,18.0,active (lever),3.3,6.3999999999999995,25.919999999999998,13.36,13.447055302862937,3,critical (risk)
brics_economic_realignme::corporate_outbound_inves,brics_economic_realignme,Corporate outbound investment flow,20.0,27.0,critical (risk),3.7,3.9,13.48,17.759999999999998,12.231728134499162,4,critical (risk)
russia_ukraine_warfare::third_party_support,russia_ukraine_warfare,Third‑party material and political support,29.0,21.0,critical (risk),2.5999999999999996,4.5,18.439999999999998,14.4,11.42700917828211,4,critical (risk)
russia_ukraine_warfare::sanctions_circumvention,russia_ukraine_warfare,Sanctions circumvention capacity,23.0,21.0,critical (risk),2.4,5.75,14.759999999999998,14.9,11.298299043127109,3,critical (risk)
us_china_tech_rivalry::regulatory_pressure,us_china_tech_rivalry,Regulatory pressure intensity,28.0,27.0,critical (risk),2.25,5.499999999999999,17.7,18.4,10.743781298679151,3,critical (risk)
global_rate_market_shock::sovereign_yield_level,global_rate_market_shock,Sovereign yield level,24.0,28.0,critical (risk),1.2,6.000000000000001,14.879999999999999,19.200000000000003,9.981319400063214,3,critical (risk)
russia_ukraine_warfare::energy_price_level,russia_ukraine_warfare,Energy market price level,12.0,22.0,reactive (sensor),5.35,1.2,9.34,13.68,9.080228065335284,3,reactive (sensor)
russia_ukraine_warfare::energy_infra_attack_rate,russia_ukraine_warfare,Energy and transport attack rate,26.0,27.0,critical (risk),5.25,1.2,17.7,16.68,8.941598629223295,3,critical (risk)
global_rate_market_shock::central_bank_policy_rate,global_rate_market_shock,Central bank policy rate,36.0,16.0,active (lever),3.8,2.55,23.119999999999997,10.62,8.802969193111304,3,active (lever)
us_china_tech_rivalry::model_deployment_rate,us_china_tech_rivalry,Corporate deployment rate of advanced models,27.0,30.0,critical (risk),3.7,1.2,17.68,18.48,7.886245770927092,4,critical (risk)
red_sea_hormuz_crisis::crude_spot_price,red_sea_hormuz_crisis,Crude spot price level,18.0,21.0,critical (risk),3.5000000000000004,0.0,12.2,12.6,3.8451430103383846,2,critical (risk)
brics_economic_realignme::industrial_policy_suppor,brics_economic_realignme,Industrial policy support level,22.0,20.0,active (lever),2.4000000000000004,2.4000000000000004,14.16,12.96,3.327106466687738,1,critical (risk)
us_china_tech_rivalry::speed_vs_safety_incentiv,us_china_tech_rivalry,Incentives for speed versus safety,24.0,35.0,critical (risk),0.0,2.4,14.399999999999999,21.96,2.6366694928034633,2,critical (risk)
red_sea_hormuz_crisis::chokepoint_attack_rate,red_sea_hormuz_crisis,Chokepoint attack frequency,25.0,0.0,active (lever),1.2,1.2,15.48,0.48,2.6366694928034633,2,active (lever)
russia_ukraine_warfare::strike_capability,russia_ukraine_warfare,Strike platform capability,21.0,21.0,critical (risk),0.0,0.0,12.6,12.6,0.0,0,critical (risk)
russia_ukraine_warfare::sanctions_enforce,russia_ukraine_warfare,Sanctions enforcement effectiveness,19.0,16.0,buffering (inert),0.0,0.0,11.4,9.6,0.0,0,buffering (inert)
russia_ukraine_warfare::arms_munitions_flow_rate,russia_ukraine_warfare,Arms and munitions flow rate,19.0,23.0,reactive (sensor),0.0,0.0,11.4,13.799999999999999,0.0,0,reactive (sensor)
russia_ukraine_warfare::border_maritime_rate,russia_ukraine_warfare,Border and maritime incident rate,20.0,20.0,critical (risk),0.0,0.0,12.0,12.0,0.0,0,critical (risk)
russia_ukraine_warfare::info_ops_flow_rate,russia_ukraine_warfare,Media and information operation rate,14.0,18.0,buffering (inert),0.0,0.0,8.4,10.799999999999999,0.0,0,buffering (inert)
russia_ukraine_warfare::negotiation_willingness,russia_ukraine_warfare,Willingness to negotiate/ceasefire,16.0,18.0,buffering (inert),0.0,0.0,9.6,10.799999999999999,0.0,0,buffering (inert)
russia_ukraine_warfare::diplomatic_alignment,russia_ukraine_warfare,Diplomatic alignment cohesion,27.0,18.0,active (lever),0.0,0.0,16.2,10.799999999999999,0.0,0,active (lever)
russia_ukraine_warfare::fuel_supply_stockpiles,russia_ukraine_warfare,Fuel supply stockpiles,13.0,20.0,reactive (sensor),0.0,0.0,7.8,12.0,0.0,0,reactive (sensor)
russia_ukraine_warfare::financial_system_access,russia_ukraine_warfare,Access to international financial systems,22.0,16.0,active (lever),0.0,0.0,13.2,9.6,0.0,0,active (lever)
russia_ukraine_warfare::economic_resilience,russia_ukraine_warfare,Domestic economic resilience,16.0,23.0,reactive (sensor),0.0,0.0,9.6,13.799999999999999,0.0,0,reactive (sensor)
russia_ukraine_warfare::infra_vulnerability,russia_ukraine_warfare,Critical infrastructure vulnerability,11.0,12.0,buffering (inert),0.0,0.0,6.6,7.199999999999999,0.0,0,buffering (inert)
red_sea_hormuz_crisis::inflation_expectations,red_sea_hormuz_crisis,Inflation expectations,6.0,10.0,critical (risk),0.0,0.0,3.5999999999999996,6.0,0.0,0,buffering (inert)
red_sea_hormuz_crisis::strategic_reserve_level,red_sea_hormuz_crisis,Strategic reserve stock level,5.0,1.0,buffering (inert),0.0,0.0,3.0,0.6,0.0,0,buffering (inert)
us_china_tech_rivalry::ai_market_volatility,us_china_tech_rivalry,Market valuation volatility,19.0,22.0,buffering (inert),0.0,0.0,11.4,13.2,0.0,0,reactive (sensor)
us_china_tech_rivalry::model_improv_rate,us_china_tech_rivalry,Rate of model capability improvement,36.0,21.0,active (lever),0.0,0.0,21.599999999999998,12.6,0.0,0,critical (risk)
red_sea_hormuz_crisis::shipping_transit_time,red_sea_hormuz_crisis,Shipping transit time,3.0,9.0,reactive (sensor),0.0,0.0,1.7999999999999998,5.3999999999999995,0.0,0,buffering (inert)
red_sea_hormuz_crisis::energy_capital_flows,red_sea_hormuz_crisis,Capital flows to energy assets,4.0,18.0,reactive (sensor),0.0,0.0,2.4,10.799999999999999,0.0,0,buffering (inert)
red_sea_hormuz_crisis::policy_rate_expectations,red_sea_hormuz_crisis,Policy rate expectations,5.0,10.0,reactive (sensor),0.0,0.0,3.0,6.0,0.0,0,buffering (inert)
