node,parent_core,label,local_AS,local_PS,local_role,AS_ext,PS_ext,global_AS,global_PS,bridge_score,n_bridged_cores,global_role
us_iran_gulf_conflict::military_escalation_leve,us_iran_gulf_conflict,Military escalation intensity,36.0,5.0,active (lever),16.8,6.75,28.32,5.7,37.90226283782306,4,active (lever)
russia_ukraine_war::violence_intensity,russia_ukraine_war,Violence intensity,32.0,24.0,critical (risk),19.55,3.3,27.02,15.719999999999999,36.77565629911919,4,critical (risk)
us_china_rivalry::geo_tension_level,us_china_rivalry,Geopolitical tension level,29.0,14.0,active (lever),14.500000000000002,4.95,23.2,10.38,31.303567396843256,4,critical (risk)
israel_palestine_flashpo::escalation_risk_perc,israel_palestine_flashpo,Escalation risk perception,18.0,22.0,critical (risk),9.5,7.95,14.6,16.38,28.08469157197505,4,critical (risk)
global_financial_turmoil::cross_asset_volatility,global_financial_turmoil,Cross-asset volatility,35.0,38.0,critical (risk),6.049999999999999,10.05,23.42,26.82,25.911950390189016,4,critical (risk)
us_china_rivalry::export_control_level,us_china_rivalry,Export control strictness,23.0,17.0,critical (risk),4.95,7.2,15.78,13.08,19.55467063607432,4,critical (risk)
global_financial_turmoil::market_liquidity,global_financial_turmoil,Market liquidity depth,31.0,29.0,critical (risk),1.4,8.1,19.159999999999997,20.64,15.289660168123953,4,critical (risk)
global_financial_turmoil::sovereign_credit_spreads,global_financial_turmoil,Sovereign credit spreads,32.0,32.0,critical (risk),4.5,3.9,21.0,20.759999999999998,13.519278464446442,4,critical (risk)
global_financial_turmoil::currency_dispersion,global_financial_turmoil,Currency valuation dispersion,30.0,35.0,critical (risk),2.4,5.700000000000001,18.96,23.28,11.228984325071115,3,critical (risk)
us_iran_gulf_conflict::oil_market_risk_premium,us_iran_gulf_conflict,Oil market risk premium,8.0,23.0,reactive (sensor),1.3,6.5,5.32,16.4,10.813096016735146,3,reactive (sensor)
russia_ukraine_war::mediation_activation,russia_ukraine_war,Mediation activation,19.0,24.0,reactive (sensor),0.0,6.6,11.4,17.04,10.622290222065061,4,critical (risk)
israel_palestine_flashpo::media_scrutiny_intensity,israel_palestine_flashpo,Media scrutiny intensity,24.0,24.0,critical (risk),1.3,5.1,14.919999999999998,16.439999999999998,10.300402639578241,4,critical (risk)
israel_palestine_flashpo::diplomatic_reciprocity,israel_palestine_flashpo,Diplomatic reciprocity,14.0,14.0,critical (risk),3.45,3.8,9.780000000000001,9.92,10.050634118119207,3,buffering (inert)
us_china_rivalry::semiconductor_investment,us_china_rivalry,Semiconductor investment flow,28.0,26.0,critical (risk),0.0,7.2,16.8,18.48,9.981319400063212,3,critical (risk)
global_financial_turmoil::long_gov_yield,global_financial_turmoil,Long-term government bond yield,28.0,35.0,critical (risk),4.9,1.1,18.76,21.44,8.317766166719343,3,critical (risk)
us_iran_gulf_conflict::chokepoint_transit_vol,us_iran_gulf_conflict,Chokepoint transit volume,15.0,14.0,critical (risk),1.3,3.5999999999999996,9.52,9.84,7.886245770927091,4,buffering (inert)
