id,title,type,timeline_kind,timeline_label,date,start,end,probability,impact_score,expected_impact,event_PS,event_AS,n_vars,affected_ids,rationale
expanded_drone_incursions,Escalation of cross-border drone incursions,process,horizon,2-6 weeks,,2026-08-16,2026-09-30,0.8,185.0,148.0,16.444,20.556,4,"airspace_incursion_rate, regional_security_tensio, shipping_insurance_premi, air_defense_readiness",Cites: [2026-08-14] 'Drone incursions sow fear...'; NATO/Latvia/Finland/Romania shoot-down headlines.
strikes_on_space_centres_retaliation_risk,Strikes on Russian space/rocket centres and retaliation risk,event,horizon,1-4 weeks,,2026-08-16,2026-09-15,0.5,160.0,80.0,16.333,26.667,3,"drone_missile_strike_rat, civilian_casualty_rate, regional_security_tensio",Cites: [2026-08-15] 'Ukraine strikes Russian space centre' and related strike escalation headlines.
nato_shootdowns_and_incidents,Increased NATO shoot-downs and airspace incidents,process,horizon,2-6 weeks,,2026-08-16,2026-09-30,0.75,154.0,115.5,18.0,25.667,3,"regional_security_tensio, diplomatic_signal_intens, airspace_incursion_rate",Cites: [2026-08-14 to 08-16] NATO/Italy/Latvia/Romania shoot-down headlines.
terminal_loading_halts,Terminal loading suspensions after attacks,process,horizon,2-4 weeks,,2026-08-16,2026-09-15,0.7,149.0,104.3,21.556,16.556,4,"port_operational_capacit, maritime_export_throughp, chokepoint_congestion, coastal_infrastructure_d",Cites: [2026-08-14] 'Sheskharis terminal halts loadings after drone attack' and port attacks on Danube.
interceptor_depletion,Depletion of interceptor (Patriot) stocks,process,horizon,weeks,,2026-08-16,2026-09-30,0.75,145.0,108.75,12.0,24.167,3,"air_defense_readiness, drone_missile_strike_rat, civilian_casualty_rate",Cites: [2026-08-15] 'Patriot launchers run empty' and Zelenskiy urging more systems.
russian_disinformation_surge,Boosted Russian disinformation operations,process,horizon,2-6 weeks,,2026-08-16,2026-09-30,0.8,91.0,72.8,18.2,18.2,3,"disinformation_campaign_, diplomatic_signal_intens, regional_security_tensio",Cites: [2026-08-14] 'Russia exploits Poland-Ukraine dispute to step up disinformation campaign.'
ghost_fleet_anti_drone_measures,Widespread deployment of anti-drone nets on tankers,process,horizon,2-6 weeks,,2026-08-16,2026-09-30,0.7,87.0,60.9,17.5,21.75,3,"drone_missile_strike_rat, shipping_insurance_premi, port_operational_capacit",Cites: [2026-08-14/15] 'Russian ghost fleet tankers use ‘Mad Max’ nets to fend off Ukraine’s drones.'
black_sea_truce_negotiations,Black Sea truce negotiations,process,horizon,2-6 weeks,,2026-08-16,2026-09-30,0.4,81.0,32.4,24.667,13.5,4,"maritime_export_throughp, port_operational_capacit, regional_security_tensio, commodity_price_volatili",Cites: [2026-08-14] 'Ukraine offers Russia truce...' and [2026-08-14] 'Russia dismisses idea of Black Sea ceasefire.'
energy_infrastructure_strikes,Strikes on refineries and energy nodes,event,horizon,weeks-months,,2026-08-16,2026-10-15,0.6,80.0,48.0,22.333,13.333,3,"energy_flow_disruption, commodity_price_volatili, port_operational_capacit",Cites: [2026-08-15] 'attack shuts Orsk refinery for months' and related fuel supply headlines.
agricultural_export_backlogs,Agricultural export backlogs and price spikes,process,horizon,weeks to months,,2026-08-16,2026-10-31,0.65,68.0,44.2,24.429,9.714,3,"maritime_export_throughp, commodity_price_volatili, chokepoint_congestion","Cites: [2026-08-14] 'food supply fears', 'Chicago wheat futures climb', and farmers despair headlines."
