id,title,type,timeline_kind,timeline_label,date,start,end,probability,impact_score,expected_impact,event_PS,event_AS,n_vars,affected_ids,rationale
continued_attacks_on_novorossiysk_and_ports,Continued attacks on Novorossiysk and Black Sea ports,process,horizon,weeks–months,,2026-08-12,2026-10-31,0.8,269.0,215.2,17.75,16.812,6,"maritime_attack_intensit, maritime_accessibility, shipping_throughput_rate, grain_export_volume, insurance_premiums, escalation_perception",Ukraine pounds grain terminals at Russia's Novorossiysk port; two grain terminals halt work after attack.
russian_vessel_seizure_threats,Russian threats to seize European vessels,process,horizon,1–4 months,,2026-08-13,2026-11-30,0.3,210.0,63.0,19.214,15.0,5,"maritime_accessibility, shipping_throughput_rate, insurance_premiums, escalation_perception, military_posture",Putin says Russia will start seizing European vessels if its ships targeted; Putin warns Russia will respond in kind.
black_sea_truce_offer,Black Sea truce offer / negotiations,process,horizon,2–7 weeks,,2026-08-13,2026-09-30,0.4,205.0,82.0,16.636,18.636,6,"drone_attack_intensity, maritime_attack_intensit, shipping_throughput_rate, grain_export_volume, escalation_perception, military_posture",EXCLUSIVE: Ukraine offers Russia truce in Black Sea; Zelenskiy gave US negotiators proposals for ending the war.
interceptor_inventory_depletion,Interceptor inventory depletion in Ukraine,process,horizon,weeks,,2026-08-11,2026-09-30,0.7,197.0,137.9,11.4,19.7,4,"interceptor_inventory, air_defense_effectivenes, drone_attack_intensity, escalation_perception",Russian bombardment kills 17 in Kyiv as Ukraine runs low on interceptors; Ukraine needs more help in the battle of the sky.
orsk_refinery_extended_shutdown,Orsk refinery extended outage,process,horizon,months,,2026-08-11,2026-11-11,0.9,122.0,109.8,15.9,12.2,4,"fuel_export_volume, petrochemical_capacity, energy_infra_damage, rerouting_costs","Ukrainian attack shuts Russia's Orsk refinery for months, halted processing after August 11 drone attack."
potential_patriot_or_aa_decision,Decision on Patriot / air-defence aid,event,horizon,weeks–months,,2026-08-13,2026-11-30,0.4,103.0,41.2,11.5,17.167,4,"interceptor_inventory, air_defense_effectivenes, military_posture, escalation_perception","Russia attacks Ukrainian port on Danube, Zelenskiy urges US to send Patriots; Ukraine seeks more help in the sky."
us-mediated_pause_on_tanker_strikes,US-mediated pause on tanker strikes,event,horizon,days–weeks,,2026-08-12,2026-09-15,0.6,101.0,60.6,16.6,20.2,4,"maritime_attack_intensit, shipping_throughput_rate, insurance_premiums, escalation_perception",US asks Ukraine to stop strikes on tankers; reports say Ukraine halts strikes at US request.
ship_defences_wider_adoption,Wider adoption of 'Mad Max' ship defences,process,horizon,weeks–months,,2026-08-13,2026-10-31,0.6,81.0,48.6,18.4,16.2,3,"shipping_throughput_rate, maritime_accessibility, insurance_premiums","Russia's ghost fleet tankers use ‘Mad Max’ nets to fend off Ukraine’s drones, showing ship-level adaptation."
increased_nato_romania_patrols,Increased Romania/NATO Black Sea patrols,process,horizon,weeks,,2026-08-11,2026-09-30,0.6,80.0,48.0,16.4,16.0,3,"military_posture, air_defense_effectivenes, escalation_perception",Romania destroys drones near Black Sea gas project; Russia probes NATO defenses per German general.
ukraine_moldova_rail_grain_route,Ukraine–Moldova rail grain routing,process,horizon,weeks–months,,2026-08-15,2026-10-31,0.7,74.0,51.8,18.857,10.571,5,"grain_export_volume, rerouting_costs, shipping_throughput_rate, maritime_accessibility, food_price_index","EXCLUSIVE: Ukraine, Moldova consider shipping grain by rail through Moldova; Ukraine cuts grain export forecast after seaport attacks."
