id,title,type,timeline_kind,timeline_label,date,start,end,probability,impact_score,expected_impact,event_PS,event_AS,n_vars,affected_ids,rationale
nvidia_wallstreet_500bn_program,Nvidia–Wall Street $500B financing push,process,horizon,6 months,,2026-08-13,2027-02-13,0.85,232.0,197.2,18.917,19.333,5,"ai_infra_financing_flow, financial_integration, credit_risk_appetite, compute_assetization, compute_capacity_growth",Multiple headlines: 'Nvidia teams with Wall Street giants to raise $500bn...' and 'Nvidia becomes the bank of AI'.
morganstanley_1_5tr_infrastructure,Morgan Stanley $1.5T infrastructure facilitation,process,horizon,12 months,,2026-08-13,2027-08-13,0.8,181.0,144.8,20.111,20.111,4,"ai_infra_financing_flow, financial_integration, market_sentiment, credit_risk_appetite",'Morgan Stanley to Facilitate $1.5 Trillion in Infrastructure Initiative' signals big bank-led capital mobilization.
nemotron4_openweight_race,Open‑weight model race (Nemotron 4 & peers),process,horizon,6 months,,2026-08-13,2027-02-13,0.9,158.0,142.2,13.667,17.556,4,"model_openness_level, model_competition_rate, regulatory_pressure, market_sentiment",Headlines: 'Nvidia building Nemotron 4 open-source' and 'Meta to open source its most powerful AI model.'
bankofamerica_250bn_deployment,Bank of America $250B deployment,process,horizon,12 months,,2026-08-13,2027-08-13,0.9,147.0,132.3,19.286,21.0,3,"ai_infra_financing_flow, credit_risk_appetite, financial_integration",Exclusive report: 'Bank of America to Deploy $250 Billion to Bolster AI and Energy Infrastructure.'
cme_compute_derivatives_expansion,Expansion of tradable compute derivatives,process,horizon,6 months,,2026-08-13,2027-02-13,0.75,139.0,104.25,17.125,17.375,4,"compute_market_liquidity, compute_assetization, financial_integration, market_sentiment",'AI computing power is becoming a tradable asset class as CME launches futures contracts.'
neocloud_capacity_expansion_coreweave_nebius,Neocloud capacity and spending surge,process,horizon,6 months,,2026-08-13,2027-02-13,0.8,135.0,108.0,19.625,16.875,4,"neocloud_utilization, compute_capacity_growth, ai_infra_financing_flow, market_sentiment",Multiple: 'CoreWeave boosts spending plan' and 'Nebius powers past estimates; neocloud rally.'
us_house_ai_oversight_push,U.S. Congressional AI oversight and hearings,process,horizon,ongoing next year,,2026-08-13,2027-06-30,0.7,99.0,69.3,18.0,19.8,3,"regulatory_pressure, model_openness_level, market_sentiment","'US House Democrats press Anthropic, OpenAI about rogue AI agents' and oversight proposals reported."
microsoft_nextgen_chip_sep2026,Microsoft next‑gen AI chip unveiling (Sept 2026),event,horizon,September 2026,,2026-09-01,2026-09-30,0.85,87.0,73.95,17.0,14.5,4,"semiconductor_capacity, compute_capacity_growth, model_competition_rate, market_sentiment","'Microsoft plans to unveil next-generation AI chip in September,' The Information reports."
ibm_togetherai_inference_clusters,IBM–Together $240M Nvidia inference cluster deployments,process,horizon,6 months,,2026-08-13,2027-02-13,0.75,76.0,57.0,18.8,15.2,3,"enterprise_ai_adoption, neocloud_utilization, compute_capacity_growth","'IBM, Together AI ink $240 million deal for Nvidia-powered AI inference cluster' (Reuters)."
anthropic_decart_talks,Anthropic talks to acquire Decart AI,event,horizon,by Nov 2026,,2026-08-13,2026-11-30,0.6,73.0,43.8,16.75,18.25,3,"model_competition_rate, market_sentiment, financial_integration",'Anthropic in talks to buy Decart AI for about $6 bln' (Reuters/Exclusive headlines).
miners_shift_to_ai_infra,Bitcoin miners repurposing to AI infrastructure,process,horizon,6 months,,2026-08-13,2027-02-13,0.6,61.0,36.6,18.75,15.25,3,"compute_capacity_growth, compute_assetization, neocloud_utilization",'Riot Platforms strikes deal with Anthropic as bitcoin miners shift focus to AI infrastructure.'
tsmc_sony_image_sensor_jv,TSMC–Sony image sensor joint venture,process,horizon,by end of 2026,,2026-08-13,2026-12-31,0.7,38.0,26.6,14.667,12.667,2,"semiconductor_capacity, compute_capacity_growth","'TSMC, Sony to invest $4.7 billion in joint venture for image sensors' (headlines)."
