id,title,type,timeline_kind,timeline_label,date,start,end,probability,impact_score,expected_impact,event_PS,event_AS,n_vars,affected_ids,rationale
russian_energy_site_strikes,Threatened massive strikes on Ukraine energy infrastructure,event,horizon,6-8 weeks,,2026-09-01,2026-10-31,0.7,241.0,168.7,19.4,24.1,4,"kin_strike_intensity, infrastructure_damage, displacement_rate, perceived_deterrence",Headline: 'Russia preparing 'massive strikes' on Ukraine's energy sites after deadliest attack of the year.'
russian_gray_zone_surge,Sustained Russian 'gray‑zone' operations across Europe,process,horizon,3-4 months,,2026-09-01,2026-12-31,0.85,188.0,159.8,20.667,20.889,4,"gray_zone_freq, cyber_attack_rate, geopolitical_polarizatio, perceived_deterrence",Headlines: 'Russia Is Bombarding Europe With a New Wave of ‘Gray Zone’ Attacks'; 'Russia steps up ’gray zone’ attacks across Europe.'
ongoing_drone_barrages,Continued drone barrages and cross‑strikes around Kyiv and Russia,process,horizon,weeks,,2026-09-01,2026-09-30,0.9,163.0,146.7,19.5,27.167,3,"kin_strike_intensity, infrastructure_damage, airspace_orbit_cong",Headlines: 'Russian drone barrage on Kyiv enters fifth day'; 'Ukrainian drone strike sparks fire at major Russian oil refinery.'
russia_cyber_sabotage_against_allies,Russian sabotage and cyberattacks targeting Ukraine's allies,process,horizon,2-3 months,,2026-09-01,2026-11-30,0.8,153.0,122.4,19.429,21.857,4,"cyber_attack_rate, gray_zone_freq, intel_sharing_flow, geopolitical_polarizatio","Headline: 'Russia Turns to Sabotage, Cyberattacks Against Ukraine’s Allies.'"
pentagon_missile_production_program,US multi‑year missile production program implementation,process,horizon,up to 16 months,,2026-09-01,2027-12-31,0.9,138.0,124.2,26.0,23.0,3,"missile_prod_rate, def_industry_capacity, arms_transfer_volume",Headline: 'Pentagon signs 7-year deals to increase missile production.'
eu_frozen_assets_for_ukraine,Push to use frozen Russian assets to fund Ukraine,process,horizon,by end of year,,2026-09-01,2026-12-31,0.6,137.0,82.2,23.5,22.833,3,"mobilized_defense_funds, arms_transfer_volume, defense_spend_share",Headline: 'EU states revive plan to use frozen Russian assets for Ukraine.'
covenant_germany_missile_plant,Covenant missile production planned in Germany,process,horizon,by 18 months,,2026-09-01,2027-12-31,0.7,120.0,84.0,25.2,24.0,3,"missile_prod_rate, def_industry_capacity, defense_coop_depth",Headline: 'US defence firm Covenant plans missile production in Germany.'
turkey_saudi_pak_meeting,First Turkey‑Saudi‑Pakistan defence pact meeting / secretariat,event,horizon,weeks,,2026-09-01,2026-10-15,0.75,102.0,76.5,23.25,25.5,3,"defense_coop_depth, geopolitical_polarizatio, arms_transfer_volume","Headlines: 'Turkey, Saudi Arabia, Pakistan to hold first defence pact meeting'; 'agree to establish secretariat.'"
ukraine_defence_plan_briefing,Ukraine defence chief public war‑plan outline,event,horizon,weeks,,2026-09-01,2026-09-30,0.7,95.0,66.5,23.0,23.75,3,"mobilized_defense_funds, intel_sharing_flow, defense_coop_depth",Headline: 'Ukraine defence chief to outline war plan as Kyiv seeks more funds.'
sweden_deployment_to_finland,Swedish jet and warship deployment to Finland,event,horizon,next month,,2026-09-01,2026-09-30,0.8,73.0,58.4,25.0,24.333,2,"defense_coop_depth, perceived_deterrence","Headline: 'Sweden to deploy fighter jets, warships to Finland.'"
space_leo_congestion_increase,Rising low‑Earth orbit congestion from satellites and debris,process,horizon,months,,2026-09-01,2026-12-31,0.85,39.0,33.15,14.0,13.0,1,airspace_orbit_cong,"Headline: 'SpaceX and Rivals Dodge Traffic as Satellites, Debris Crowd Low-Earth Orbit.'"
